"REC","TGT","YDS","YPR","LG","X20.","TD","ATT","RuYD","RuTD","FL","G","FPTS","Week"
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,0,1
3,4,15,5,7,0,1,2,-2,0,0,1,0,1
0,2,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,0,0,0,0,0,1,-7,0,0,1,0,1
12,15,148,12.3,46,3,3,0,0,0,0,1,44.8,2
11,13,190,17.3,60,8,2,0,0,0,0,1,42,2
11,19,171,15.5,59,6,2,0,0,0,0,1,40.1,2
9,12,116,12.9,49,3,2,2,68,0,0,1,39.4,2
11,14,108,9.8,20,1,2,0,0,0,1,1,31.8,2
8,14,102,12.8,31,2,2,1,-2,0,0,1,30,2
6,6,78,13,26,2,2,0,0,0,0,1,25.8,2
8,10,113,14.1,39,2,1,0,0,0,0,1,25.3,2
9,10,101,11.2,20,1,1,0,0,0,0,1,25.1,2
8,12,86,10.8,22,1,1,0,0,0,0,1,24.6,2
6,6,110,18.3,44,4,1,0,0,0,0,1,23,2
7,9,78,11.1,27,1,1,1,21,0,0,1,22.9,2
4,7,108,27,75,4,1,0,0,0,0,1,20.8,2
5,5,91,18.2,28,2,1,0,0,0,0,1,20.1,2
9,11,107,11.9,27,1,0,0,0,0,0,1,19.7,2
7,11,122,17.4,35,5,0,1,5,0,0,1,19.7,2
6,10,71,11.8,19,0,1,0,0,0,0,1,19.1,2
6,9,65,10.8,13,0,1,0,0,0,0,1,18.5,2
9,13,95,10.6,24,1,0,0,0,0,0,1,18.5,2
4,5,59,14.8,40,3,1,0,0,0,0,1,17.9,2
2,4,83,41.5,66,4,1,0,0,0,0,1,16.3,2
4,4,55,13.8,29,1,1,0,0,0,0,1,15.5,2
4,5,53,13.3,29,1,1,0,0,0,0,1,15.3,2
7,11,75,10.7,24,1,0,1,6,0,0,1,15.1,2
7,7,80,11.4,19,0,0,0,0,0,0,1,15,2
2,2,69,34.5,53,4,1,0,0,0,0,1,14.9,2
5,6,44,8.8,15,0,0,4,53,0,0,1,14.7,2
6,10,57,9.5,17,0,0,0,0,0,0,1,13.7,2
3,5,45,15,28,1,1,0,0,0,0,1,13.5,2
3,6,43,14.3,29,1,1,0,0,0,0,1,13.3,2
5,7,79,15.8,39,2,0,1,3,0,0,1,13.2,2
2,2,50,25,41,3,1,0,0,0,0,1,13,2
4,8,30,7.5,10,0,1,0,0,0,0,1,13,2
6,11,68,11.3,24,1,0,0,0,0,0,1,12.8,2
3,3,38,12.7,23,1,1,0,0,0,0,1,12.8,2
3,4,93,31,55,5,0,0,0,0,0,1,12.3,2
2,2,42,21,26,1,0,0,0,0,0,1,12.2,2
4,8,75,18.8,35,2,0,1,7,0,0,1,12.2,2
5,8,69,13.8,23,1,0,0,0,0,0,1,11.9,2
5,8,66,13.2,23,2,0,0,0,0,0,1,11.6,2
5,8,63,12.6,25,1,0,0,0,0,0,1,11.3,2
5,13,80,16,51,4,0,0,0,0,1,1,11,2
7,10,59,8.4,20,1,0,0,0,0,1,1,10.9,2
6,12,48,8,11,0,0,0,0,0,0,1,10.8,2
5,9,54,10.8,17,0,0,1,4,0,0,1,10.8,2
2,2,21,10.5,11,0,1,0,0,0,0,1,10.1,2
5,6,51,10.2,15,0,0,0,0,0,0,1,10.1,2
4,9,58,14.5,29,2,0,0,0,0,0,1,9.8,2
4,10,54,13.5,25,2,0,0,0,0,0,1,9.4,2
6,10,34,5.7,12,0,0,0,0,0,0,1,9.4,2
2,3,13,6.5,8,0,1,0,0,0,0,1,9.3,2
4,7,52,13,19,0,0,0,0,0,0,1,9.2,2
2,7,12,6,11,0,1,0,0,0,0,1,9.2,2
3,4,61,20.3,41,3,0,0,0,0,0,1,9.1,2
4,6,47,11.8,16,0,0,0,0,0,0,1,8.7,2
3,3,55,18.3,35,2,0,0,0,0,0,1,8.5,2
