"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","10","17","146","14.6","38","4","2","0","0","0","0","1","36.6","36.6","100.0%"
"2","Tyreek Hill (MIA)","7","8","143","20.4","39","5","1","0","0","0","0","1","27.3","27.3","100.0%"
"3","Cooper Kupp (LAR)","8","9","127","15.9","69","6","1","3","1","0","0","1","26.8","26.8","87.0%"
"4","Justin Jefferson (MIN)","7","13","115","16.4","47","3","1","1","10","0","0","1","25.5","25.5","100.0%"
"5","Christian Kirk (JAC)","8","9","76","9.5","23","1","1","0","0","0","0","1","21.6","21.6","94.9%"
"6","Mecole Hardman (KC)","6","9","79","13.2","33","2","1","0","0","0","0","1","19.9","19.9","27.3%"
"7","Jaylen Waddle (MIA)","5","7","85","17.0","26","1","1","0","0","0","0","1","19.5","19.5","99.3%"
"8","JuJu Smith-Schuster (KC)","10","12","88","8.8","17","0","0","0","0","0","0","1","18.8","18.8","92.7%"
"9","Allen Lazard (GB)","4","10","87","21.8","47","4","1","0","0","0","0","1","18.7","18.7","84.3%"
"10","Joshua Palmer (LAC)","8","10","106","13.3","25","3","0","0","0","0","0","1","18.6","18.6","74.3%"
"11","Garrett Wilson (NYJ)","8","9","92","11.5","24","1","0","1","7","0","0","1","17.9","17.9","89.0%"
"12","Tyler Lockett (SEA)","5","5","67","13.4","30","2","1","0","0","0","0","1","17.7","17.7","94.7%"
"13","Darnell Mooney (CHI)","7","8","43","6.1","16","0","1","1","2","0","0","1","17.5","17.5","39.6%"
"14","Curtis Samuel (WAS)","3","4","65","21.7","49","3","1","1","16","0","0","1","17.1","17.1","61.8%"
"15","A.J. Brown (PHI)","4","6","59","14.8","31","2","1","0","0","0","0","1","15.9","15.9","99.9%"
"16","Rondale Moore (ARI)","8","10","69","8.6","18","0","0","0","0","0","0","1","14.9","14.9","49.0%"
"17","DK Metcalf (SEA)","5","6","37","7.4","9","0","1","0","0","0","0","1","14.7","14.7","97.8%"
"18","Chris Moore (HOU)","4","5","43","10.8","25","1","1","1","2","0","0","1","14.5","14.5","1.9%"
"19","Stefon Diggs (BUF)","5","10","93","18.6","42","3","0","0","0","0","0","1","14.3","14.3","100.0%"
"20","Terrace Marshall Jr. (CAR)","3","6","53","17.7","21","1","1","0","0","0","0","1","14.3","14.3","8.0%"
"21","DeAndre Hopkins (ARI)","4","5","36","9.0","22","1","1","0","0","0","0","1","13.6","13.6","98.4%"
