"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Stefon Diggs (BUF)","12","15","148","12.3","46","3","3","0","0","0","0","1","44.8","44.8","100.0%"
"2","Tyreek Hill (MIA)","11","13","190","17.3","60","8","2","0","0","0","0","1","42.0","42.0","100.0%"
"3","Jaylen Waddle (MIA)","11","19","171","15.5","59","6","2","0","0","0","0","1","40.1","40.1","99.3%"
"4","Amon-Ra St. Brown (DET)","9","12","116","12.9","49","3","2","2","68","0","0","1","39.4","39.4","99.1%"
"5","Cooper Kupp (LAR)","11","14","108","9.8","20","1","2","0","0","0","1","1","31.8","31.8","87.0%"
"6","Garrett Wilson (NYJ)","8","14","102","12.8","31","2","2","1","-2","0","0","1","30.0","30.0","89.0%"
"7","Christian Kirk (JAC)","6","6","78","13.0","26","2","2","0","0","0","0","1","25.8","25.8","94.9%"
"8","Mike Williams (LAC)","8","10","113","14.1","39","2","1","0","0","0","0","1","25.3","25.3","94.3%"
"9","Amari Cooper (CLE)","9","10","101","11.2","20","1","1","0","0","0","0","1","25.1","25.1","96.2%"
"10","Drake London (ATL)","8","12","86","10.8","22","1","1","0","0","0","0","1","24.6","24.6","66.3%"
"11","Nelson Agholor (NE)","6","6","110","18.3","44","4","1","0","0","0","0","1","23.0","23.0","1.8%"
"12","Curtis Samuel (WAS)","7","9","78","11.1","27","1","1","1","21","0","0","1","22.9","22.9","61.8%"
"13","Rashod Bateman (BAL)","4","7","108","27.0","75","4","1","0","0","0","0","1","20.8","20.8","23.7%"
"14","Noah Brown (DAL)","5","5","91","18.2","28","2","1","0","0","0","0","1","20.1","20.1","1.8%"
"15","Tyler Lockett (SEA)","9","11","107","11.9","27","1","0","0","0","0","0","1","19.7","19.7","94.7%"
"16","Courtland Sutton (DEN)","7","11","122","17.4","35","5","0","1","5","0","0","1","19.7","19.7","83.1%"
"17","Tee Higgins (CIN)","6","10","71","11.8","19","0","1","0","0","0","0","1","19.1","19.1","99.7%"
