"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","8","11","130","16.3","41","5","2","0","0","0","0","1","33.0","33.0","99.9%"
"2","Tyler Boyd (CIN)","8","9","155","19.4","60","6","1","0","0","0","0","1","29.5","29.5","77.7%"
"3","Mecole Hardman (KC)","4","4","32","8.0","18","0","1","2","28","2","0","1","28.0","28.0","27.3%"
"4","JuJu Smith-Schuster (KC)","7","8","124","17.7","45","4","1","0","0","0","0","1","25.4","25.4","92.7%"
"5","Parris Campbell (IND)","10","12","70","7.0","11","0","1","0","0","0","0","1","23.0","23.0","36.9%"
"6","Marquise Goodwin (SEA)","4","5","67","16.8","23","3","2","0","0","0","0","1","22.7","22.7","1.4%"
"7","Mike Williams (LAC)","7","9","86","12.3","21","1","1","0","0","0","0","1","21.6","21.6","94.3%"
"8","DeAndre Hopkins (ARI)","10","14","103","10.3","18","0","0","0","0","0","0","1","20.3","20.3","98.4%"
"9","DJ Moore (CAR)","7","10","69","9.9","21","2","1","1","-3","0","0","1","19.6","19.6","93.4%"
"10","Mike Evans (TB)","9","15","96","10.7","20","1","0","0","0","0","0","1","18.6","18.6","98.7%"
"11","Terry McLaurin (WAS)","5","8","73","14.6","37","2","1","0","0","0","0","1","18.3","18.3","97.5%"
"12","George Pickens (PIT)","6","6","61","10.2","30","2","1","0","0","0","0","1","18.1","18.1","69.5%"
"13","Chris Olave (NO)","7","14","106","15.1","41","3","0","0","0","0","0","1","17.6","17.6","93.2%"
"14","Davante Adams (LV)","8","9","95","11.9","16","0","0","0","0","0","0","1","17.5","17.5","100.0%"
"15","Christian Kirk (JAC)","7","10","96","13.7","34","2","0","1","5","0","0","1","17.1","17.1","94.9%"
"16","Jerry Jeudy (DEN)","7","11","96","13.7","45","3","0","0","0","0","0","1","16.6","16.6","87.0%"
"17","Ray-Ray McCloud (SF)","4","4","65","16.3","22","2","1","0","0","0","0","1","16.5","16.5","0.6%"
"18","Brandon Aiyuk (SF)","7","11","82","11.7","21","1","0","0","0","0","0","1","15.2","15.2","91.2%"
"19","Darius Slayton (NYG)","3","6","58","19.3","32","2","1","0","0","0","0","1","14.8","14.8","54.4%"
"20","Damiere Byrd (ATL)","1","1","75","75.0","75","4","1","0","0","0","0","1","14.5","14.5","0.1%"
"21","Kalif Raymond (DET)","5","6","75","15.0","20","1","0","2","20","0","0","1","14.5","14.5","2.9%"
"22","Tee Higgins (CIN)","5","7","93","18.6","25","3","0","0","0","0","0","1","14.3","14.3","99.7%"
"23","Tyreek Hill (MIA)","7","13","72","10.3","21","1","0","0","0","0","0","1","14.2","14.2","100.0%"
"24","Marquez Valdes-Scantling (KC)","3","4","111","37.0","57","7","0","0","0","0","0","1","14.1","14.1","47.4%"
"25","Curtis Samuel (WAS)","5","8","53","10.6","26","1","0","5","26","0","0","1","12.9","12.9","61.8%"
"26","Jaylen Waddle (MIA)","4","5","88","22.0","25","3","0","0","0","0","0","1","12.8","12.8","99.3%"
"27","Phillip Dorsett II (HOU)","2","3","45","22.5","25","2","1","0","0","0","0","1","12.5","12.5","0.7%"
"28","Mack Hollins (LV)","2","3","44","22.0","26","1","1","0","0","0","0","1","12.4","12.4","25.6%"
"29","Rashid Shaheed (NO)","1","1","53","53.0","53","4","1","0","0","0","0","1","12.3","12.3","0.8%"
"30","Tyler Lockett (SEA)","7","8","45","6.4","14","0","0","0","0","0","0","1","11.5","11.5","94.7%"
"31","Allen Lazard (GB)","6","7","55","9.2","17","0","0","0","0","0","0","1","11.5","11.5","84.3%"
"32","Chris Godwin (TB)","7","13","43","6.1","10","0","0","1","2","0","0","1","11.5","11.5","95.8%"
"33","Jakobi Meyers (NE)","2","2","34","17.0","30","2","1","0","0","0","0","1","11.4","11.4","72.7%"
"34","Donovan Peoples-Jones (CLE)","6","6","71","11.8","37","2","0","0","0","0","1","1","11.1","11.1","51.2%"
"35","Wan'Dale Robinson (NYG)","6","8","50","8.3","17","0","0","0","0","0","0","1","11.0","11.0","6.0%"
"36","Tre'Quan Smith (NO)","5","6","59","11.8","20","1","0","0","0","0","0","1","10.9","10.9","0.6%"
"37","Zay Jones (JAC)","4","10","54","13.5","20","1","0","1","14","0","0","1","10.8","10.8","55.4%"
"38","CeeDee Lamb (DAL)","4","6","70","17.5","24","2","0","1","-4","0","0","1","10.6","10.6","99.9%"
"39","Amari Cooper (CLE)","3","4","74","24.7","55","4","0","0","0","0","0","1","10.4","10.4","96.2%"
"40","Chris Moore (HOU)","2","4","20","10.0","13","0","1","0","0","0","0","1","10.0","10.0","1.9%"
"41","DeVante Parker (NE)","3","5","68","22.7","43","3","0","0","0","0","0","1","9.8","9.8","13.6%"
"42","Michael Pittman Jr. (IND)","6","9","58","9.7","14","0","0","0","0","0","1","1","9.8","9.8","96.4%"
"43","Marvin Jones Jr. (JAC)","4","8","57","14.3","28","1","0","0","0","0","0","1","9.7","9.7","13.8%"
"44","Diontae Johnson (PIT)","5","10","42","8.4","14","0","0","1","3","0","0","1","9.5","9.5","84.5%"
"45","Deebo Samuel (SF)","5","7","42","8.4","22","1","0","1","2","0","0","1","9.4","9.4","99.2%"
"46","Chase Claypool (CHI)","5","8","41","8.2","12","0","0","0","0","0","0","1","9.1","9.1","49.8%"
"47","Equanimeous St. Brown (CHI)","4","7","48","12.0","19","0","0","0","0","0","0","1","8.8","8.8","0.2%"
"48","Brandin Cooks (HOU)","4","5","46","11.5","24","1","0","0","0","0","0","1","8.6","8.6","66.9%"
"49","Hunter Renfrow (LV)","3","3","55","18.3","27","2","0","0","0","0","0","1","8.5","8.5","26.4%"
"50","Darnell Mooney (CHI)","3","6","53","17.7","20","1","0","0","0","0","0","1","8.3","8.3","39.6%"
"51","Rashod Bateman (BAL)","4","5","42","10.5","26","1","0","0","0","0","0","1","8.2","8.2","23.7%"
"52","Noah Brown (DAL)","5","7","50","10.0","15","0","0","0","0","0","1","1","8.0","8.0","1.8%"
"53","Russell Gage (TB)","4","5","39","9.8","20","1","0","0","0","0","0","1","7.9","7.9","17.6%"
"54","Greg Dortch (ARI)","1","1","5","5.0","5","0","1","1","1","0","0","1","7.6","7.6","4.0%"
"55","Kevin White (NO)","1","1","64","64.0","64","4","0","0","0","0","0","1","7.4","7.4","0.0%"
"56","Justin Watson (KC)","1","2","4","4.0","4","0","1","0","0","0","0","1","7.4","7.4","1.5%"
"57","Trent Sherfield (MIA)","3","3","44","14.7","32","2","0","0","0","0","0","1","7.4","7.4","2.2%"
"58","Braxton Berrios (NYJ)","3","4","15","5.0","8","0","0","2","27","0","0","1","7.2","7.2","1.0%"
"59","DeAndre Carter (LAC)","3","7","37","12.3","22","1","0","0","0","0","0","1","6.7","6.7","16.6%"
"60","Alec Pierce (IND)","3","4","37","12.3","20","1","0","0","0","0","0","1","6.7","6.7","11.8%"
"61","Garrett Wilson (NYJ)","4","4","24","6.0","12","0","0","0","0","0","0","1","6.4","6.4","89.0%"
"62","Nico Collins (HOU)","3","3","33","11.0","15","0","0","0","0","0","0","1","6.3","6.3","23.8%"
"63","Devin Duvernay (BAL)","2","3","42","21.0","31","2","0","0","0","0","0","1","6.2","6.2","39.6%"
"64","Olamide Zaccheaus (ATL)","3","4","31","10.3","12","0","0","0","0","0","0","1","6.1","6.1","0.8%"
"65","Robert Woods (TEN)","3","4","26","8.7","13","0","0","0","0","0","0","1","5.6","5.6","44.3%"
"66","Sammy Watkins (GB)","2","4","36","18.0","28","1","0","0","0","0","0","1","5.6","5.6","2.5%"
"67","Courtland Sutton (DEN)","3","9","23","7.7","11","0","0","0","0","0","0","1","5.3","5.3","83.1%"
"68","Cody Hollister (TEN)","2","2","32","16.0","27","1","0","0","0","0","0","1","5.2","5.2","0.0%"
"69","Terrace Marshall Jr. (CAR)","2","3","31","15.5","20","1","0","0","0","0","0","1","5.1","5.1","8.0%"
"70","Jauan Jennings (SF)","2","4","24","12.0","13","0","0","0","0","0","0","1","4.4","4.4","0.7%"
"71","Rondale Moore (ARI)","1","2","31","31.0","31","2","0","0","0","0","0","1","4.1","4.1","49.0%"
"72","Dante Pettis (CHI)","1","1","2","2.0","2","0","0","1","29","0","0","1","4.1","4.1","0.1%"
"73","Marquez Callaway (NO)","2","6","20","10.0","12","0","0","0","0","0","0","1","4.0","4.0","0.5%"
"74","Tom Kennedy (DET)","2","3","14","7.0","9","0","0","0","0","0","0","1","3.4","3.4","0.1%"
"75","Keenan Allen (LAC)","2","2","11","5.5","10","0","0","0","0","0","0","1","3.1","3.1","97.8%"
"76","David Sills V (NYG)","1","1","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","0.1%"
"77","Tyquan Thornton (NE)","1","5","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","0.9%"
"78","K.J. Hamler (DEN)","1","4","4","4.0","4","0","0","1","14","0","0","1","2.8","2.8","0.9%"
"79","Scotty Miller (TB)","2","2","6","3.0","4","0","0","0","0","0","0","1","2.6","2.6","0.1%"
"80","N'Keal Harry (CHI)","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.1%"
