"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Gabe Davis (BUF)","3","6","171","57.0","98","8","2","0","0","0","0","1","32.1","32.1","95.0%"
"2","Justin Jefferson (MIN)","12","13","154","12.8","31","2","0","0","0","0","0","1","30.3","30.3","100.0%"
"3","Davante Adams (LV)","3","7","124","41.3","58","7","2","0","0","0","0","1","27.4","27.4","100.0%"
"4","Tyler Lockett (SEA)","5","6","104","20.8","40","5","2","0","0","0","0","1","27.4","27.4","94.7%"
"5","Cooper Kupp (LAR)","7","10","125","17.9","75","4","1","1","4","0","0","1","25.9","25.9","87.0%"
"6","Dyami Brown (WAS)","2","4","105","52.5","75","6","2","0","0","0","0","1","24.5","24.5","0.1%"
"7","Stefon Diggs (BUF)","8","11","102","12.8","41","3","1","0","0","0","0","1","24.2","24.2","100.0%"
"8","Jakobi Meyers (NE)","7","8","111","15.9","24","2","1","0","0","0","0","1","24.1","24.1","72.7%"
"9","Mike Williams (LAC)","10","13","134","13.4","38","3","0","0","0","0","0","1","23.4","23.4","94.3%"
"10","Marquise Brown (ARI)","8","10","78","9.8","25","1","1","0","0","0","0","1","21.8","21.8","89.3%"
"11","Amari Cooper (CLE)","7","12","76","10.9","20","1","1","0","0","0","0","1","20.6","20.6","96.2%"
"12","DeVonta Smith (PHI)","10","11","87","8.7","22","2","0","0","0","0","0","1","18.7","18.7","92.7%"
"13","DK Metcalf (SEA)","5","8","88","17.6","50","4","1","0","0","0","1","1","17.8","17.8","97.8%"
"14","Marvin Jones Jr. (JAC)","7","11","104","14.9","37","3","0","0","0","0","0","1","17.4","17.4","13.8%"
"15","Randall Cobb (GB)","7","13","99","14.1","35","3","0","0","0","0","0","1","16.9","16.9","5.8%"
"16","Khalil Shakir (BUF)","3","5","75","25.0","31","4","1","0","0","0","0","1","16.5","16.5","0.3%"
"17","Alec Pierce (IND)","8","9","81","10.1","17","0","0","0","0","0","0","1","16.1","16.1","11.8%"
"18","Chris Olave (NO)","4","6","54","13.5","18","0","1","0","0","0","0","1","15.4","15.4","93.2%"
"19","Josh Reynolds (DET)","6","10","92","15.3","31","3","0","0","0","0","0","1","15.2","15.2","6.4%"
"20","Marquez Valdes-Scantling (KC)","6","8","90","15.0","23","1","0","0","0","0","0","1","15.0","15.0","47.4%"
"21","George Pickens (PIT)","6","8","83","13.8","29","1","0","0","0","0","0","1","14.3","14.3","69.5%"
"22","Darius Slayton (NYG)","6","7","79","13.2","26","1","0","0","0","0","0","1","13.9","13.9","54.4%"
"23","Allen Lazard (GB)","4","8","35","8.8","17","0","1","0","0","0","0","1","13.5","13.5","84.3%"
"24","Rondale Moore (ARI)","7","8","68","9.7","28","1","0","2","-7","0","0","1","13.1","13.1","49.0%"
"25","Tyreek Hill (MIA)","7","7","47","6.7","13","0","0","2","13","0","0","1","13.0","13.0","100.0%"
"26","Devin Duvernay (BAL)","5","7","54","10.8","21","1","0","3","24","0","0","1","12.8","12.8","39.6%"
"27","Terry McLaurin (WAS)","5","6","76","15.2","34","3","0","0","0","0","0","1","12.6","12.6","97.5%"
"28","Courtland Sutton (DEN)","5","11","74","14.8","51","4","0","0","0","0","0","1","12.4","12.4","83.1%"
"29","Chris Godwin (TB)","6","6","61","10.2","20","1","0","1","2","0","0","1","12.3","12.3","95.8%"
"30","Curtis Samuel (WAS)","6","8","62","10.3","32","2","0","0","0","0","0","1","12.2","12.2","61.8%"
"31","Mike Evans (TB)","4","8","81","20.3","40","4","0","0","0","0","0","1","12.1","12.1","98.7%"
"32","Mecole Hardman (KC)","4","5","73","18.3","36","3","0","1","7","0","0","1","12.0","12.0","27.3%"
"33","Ja'Marr Chase (CIN)","7","12","50","7.1","13","0","0","1","0","0","0","1","12.0","12.0","99.9%"
"34","Olamide Zaccheaus (ATL)","2","4","39","19.5","20","1","1","0","0","0","0","1","11.9","11.9","0.8%"
"35","Deebo Samuel (SF)","2","9","20","10.0","16","0","1","2","12","0","0","1","11.2","11.2","99.2%"
"36","Diontae Johnson (PIT)","5","13","60","12.0","23","1","0","0","0","0","0","1","11.0","11.0","84.5%"
"37","Michael Pittman Jr. (IND)","5","8","59","11.8","19","0","0","0","0","0","0","1","10.9","10.9","96.4%"
"38","Shi Smith (CAR)","4","5","69","17.3","31","3","0","0","0","0","0","1","10.9","10.9","0.1%"
"39","DJ Moore (CAR)","4","8","59","14.8","27","1","0","1","8","0","0","1","10.7","10.7","93.4%"
"40","Nico Collins (HOU)","4","6","65","16.3","23","2","0","0","0","0","0","1","10.5","10.5","23.8%"
"41","CeeDee Lamb (DAL)","5","8","53","10.6","16","0","0","0","0","0","0","1","10.3","10.3","99.9%"
"42","Ben Skowronek (LAR)","6","8","41","6.8","12","0","0","0","0","0","0","1","10.1","10.1","2.8%"
"43","Chase Claypool (CHI)","5","9","50","10.0","20","1","0","0","0","0","0","1","10.0","10.0","49.8%"
"44","Kalif Raymond (DET)","5","7","45","9.0","20","1","0","0","0","0","0","1","9.5","9.5","2.9%"
"45","Nick Westbrook-Ikhine (TEN)","2","3","72","36.0","61","4","0","0","0","0","0","1","9.2","9.2","3.2%"
"46","K.J. Osborn (MIN)","5","5","41","8.2","10","0","0","0","0","0","0","1","9.1","9.1","3.4%"
"47","Donovan Peoples-Jones (CLE)","4","7","50","12.5","19","0","0","0","0","0","0","1","9.0","9.0","51.2%"
"48","Brandon Aiyuk (SF)","3","4","58","19.3","24","1","0","0","0","0","0","1","8.8","8.8","91.2%"
"49","Michael Gallup (DAL)","4","5","44","11.0","27","1","0","0","0","0","0","1","8.4","8.4","65.8%"
"50","Braxton Berrios (NYJ)","1","1","-1","-1.0","0","0","0","1","15","1","0","1","8.4","8.4","1.0%"
"51","KhaDarel Hodge (ATL)","3","5","33","11.0","13","0","0","0","0","0","0","1","8.3","8.3","0.0%"
"52","Jerry Jeudy (DEN)","3","8","53","17.7","37","2","0","0","0","0","0","1","8.3","8.3","87.0%"
"53","Isaiah Hodgins (NYG)","4","6","41","10.3","26","1","0","0","0","0","0","1","8.1","8.1","0.7%"
"54","Velus Jones Jr. (CHI)","1","1","9","9.0","9","0","1","0","0","0","0","1","7.9","7.9","0.5%"
"55","Robert Woods (TEN)","4","8","37","9.3","13","0","0","0","0","0","0","1","7.7","7.7","44.3%"
"56","Drake London (ATL)","4","7","35","8.8","15","0","0","0","0","0","0","1","7.5","7.5","66.3%"
"57","Scotty Miller (TB)","4","7","35","8.8","12","0","0","0","0","0","0","1","7.5","7.5","0.1%"
"58","Darnell Mooney (CHI)","2","5","52","26.0","39","2","0","0","0","0","0","1","7.2","7.2","39.6%"
"59","Jalen Reagor (MIN)","1","1","1","1.0","1","0","1","0","0","0","0","1","7.1","7.1","0.1%"
"60","Terrace Marshall Jr. (CAR)","4","4","30","7.5","12","0","0","0","0","0","0","1","7.0","7.0","8.0%"
"61","Adam Thielen (MIN)","4","7","27","6.8","13","0","0","0","0","0","0","1","6.7","6.7","90.1%"
"62","Hunter Renfrow (LV)","4","4","25","6.3","9","0","0","0","0","0","0","1","6.5","6.5","26.4%"
"63","Marcus Johnson (NYG)","3","3","35","11.7","16","0","0","0","0","0","0","1","6.5","6.5","0.0%"
"64","Jauan Jennings (SF)","2","2","45","22.5","32","2","0","0","0","0","0","1","6.5","6.5","0.7%"
"65","Tutu Atwell (LAR)","1","2","54","54.0","54","4","0","0","0","0","0","1","6.4","6.4","0.5%"
"66","JuJu Smith-Schuster (KC)","3","8","33","11.0","13","0","0","0","0","0","0","1","6.3","6.3","92.7%"
"67","Tyler Boyd (CIN)","3","4","32","10.7","18","0","0","0","0","0","0","1","6.2","6.2","77.7%"
"68","A.J. Brown (PHI)","3","7","32","10.7","15","0","0","0","0","0","0","1","6.2","6.2","99.9%"
"69","Russell Gage (TB)","2","6","20","10.0","14","0","0","0","0","0","0","1","6.0","6.0","17.6%"
"70","Brandin Cooks (HOU)","4","6","20","5.0","7","0","0","0","0","0","0","1","6.0","6.0","66.9%"
"71","Romeo Doubs (GB)","3","5","29","9.7","22","1","0","0","0","0","0","1","5.9","5.9","16.2%"
"72","Corey Davis (NYJ)","2","4","38","19.0","21","1","0","0","0","0","0","1","5.8","5.8","20.6%"
"73","Amon-Ra St. Brown (DET)","4","6","18","4.5","11","0","0","0","0","0","0","1","5.8","5.8","99.1%"
"74","Garrett Wilson (NYJ)","3","4","27","9.0","13","0","0","0","0","0","0","1","5.7","5.7","89.0%"
"75","Joshua Palmer (LAC)","3","6","24","8.0","9","0","0","0","0","0","0","1","5.4","5.4","74.3%"
"76","Jaylen Waddle (MIA)","3","4","23","7.7","11","0","0","0","0","0","0","1","5.3","5.3","99.3%"
"77","A.J. Green (ARI)","3","5","20","6.7","9","0","0","0","0","0","0","1","5.0","5.0","1.7%"
"78","Quez Watkins (PHI)","3","4","19","6.3","7","0","0","0","0","0","0","1","4.9","4.9","1.4%"
"79","Equanimeous St. Brown (CHI)","2","2","24","12.0","18","0","0","0","0","0","0","1","4.4","4.4","0.2%"
"80","Mike Thomas (FA)","1","3","33","33.0","33","2","0","0","0","0","0","1","4.3","4.3","0.1%"
"81","Zay Jones (JAC)","3","8","12","4.0","7","0","0","0","0","0","0","1","4.2","4.2","55.4%"
"82","Parris Campbell (IND)","2","3","22","11.0","12","0","0","0","0","0","0","1","4.2","4.2","36.9%"
"83","Robbie Anderson (ARI)","1","5","32","32.0","32","2","0","0","0","0","0","1","4.2","4.2","6.9%"
"84","Allen Robinson II (LAR)","3","5","12","4.0","6","0","0","0","0","0","0","1","4.2","4.2","38.4%"
"85","Cedrick Wilson Jr. (MIA)","2","4","20","10.0","11","0","0","0","0","0","0","1","4.0","4.0","1.0%"
"86","Richie James Jr. (NYG)","2","2","16","8.0","15","0","0","0","0","0","0","1","3.6","3.6","6.0%"
"87","Skyy Moore (KC)","2","3","15","7.5","8","0","0","0","0","0","0","1","3.5","3.5","12.7%"
"88","David Sills V (NYG)","2","2","12","6.0","7","0","0","0","0","0","0","1","3.2","3.2","0.1%"
"89","DeAndre Carter (LAC)","2","2","9","4.5","7","0","0","0","0","0","0","1","2.9","2.9","16.6%"
"90","Ashton Dulin (IND)","1","1","18","18.0","18","0","0","0","0","0","0","1","2.8","2.8","0.1%"
"91","Tyquan Thornton (NE)","2","3","7","3.5","5","0","0","0","0","0","0","1","2.7","2.7","0.9%"
"92","Marquez Callaway (NO)","2","3","5","2.5","4","0","0","0","0","0","0","1","2.5","2.5","0.5%"
"93","Jeff Smith (NYJ)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"94","Miles Boykin (PIT)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"95","Elijah Moore (NYJ)","1","4","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","30.0%"
"96","Christian Kirk (JAC)","1","3","11","11.0","5","0","0","0","0","0","0","1","2.1","2.1","94.9%"
"97","Bryan Edwards (KC)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.2%"
"98","Tre'Quan Smith (NO)","1","4","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.6%"
"99","Justin Watson (KC)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","1.5%"
"100","K.J. Hamler (DEN)","1","2","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.9%"
"101","Tylan Wallace (BAL)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"102","Demarcus Robinson (BAL)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","11.9%"
"103","Cam Sims (WAS)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"104","Kyle Philips (TEN)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.2%"
"105","James Proche II (BAL)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"106","David Bell (CLE)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.7%"
"107","Noah Brown (DAL)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","1.8%"
"108","Trent Sherfield (MIA)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","2.2%"
"109","Keith Kirkwood (NO)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"110","Kendrick Bourne (NE)","1","1","1","1.0","1","0","0","1","-1","0","0","1","1.0","1.0","1.0%"
"111","Montrell Washington (DEN)","0","0","0","0","0","0","0","1","9","0","0","1","0.9","0.9","0.2%"
"112","Christian Watson (GB)","1","1","1","1.0","1","0","0","1","-3","0","0","1","0.8","0.8","85.9%"
"113","Ihmir Smith-Marsette (KC)","1","2","15","15.0","15","0","0","0","0","0","1","1","0.5","0.5","0.0%"
"114","Jamal Agnew (JAC)","0","1","0","0","0","0","0","1","3","0","0","1","0.3","0.3","0.4%"
"115","Brandon Powell (LAR)","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","0.3%"
"116","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Isaiah Zuber (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Denzel Mims (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"119","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","John Hightower (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Kendall Hinton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"122","Kristian Wilkerson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"124","Van Jefferson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.0%"
"125","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Lawrence Cager (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"128","Tyrie Cleveland (DEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Lynn Bowden Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"133","Rashod Bateman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.7%"
"134","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Freddie Swain (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Cody White (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Demetric Felton Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Marquez Stevenson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Amari Rodgers (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"145","Anthony Schwartz (CLE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"146","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Dazz Newsome (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Kadarius Toney (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.1%"
"149","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Dez Fitzpatrick (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Laviska Shenault Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"152","Cameron Batson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
