"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","11","15","150","13.6","35","5","2","0","0","0","0","1","38.0","38.0","99.9%"
"2","Justin Jefferson (MIN)","10","16","193","19.3","46","7","1","0","0","0","0","1","35.3","35.3","100.0%"
"3","Christian Watson (GB)","4","8","107","26.8","58","6","3","0","0","0","0","1","32.7","32.7","85.9%"
"4","Christian Kirk (JAC)","9","12","105","11.7","24","1","2","0","0","0","0","1","31.5","31.5","94.9%"
"5","Nick Westbrook-Ikhine (TEN)","5","8","119","23.8","63","5","2","0","0","0","0","1","28.9","28.9","3.2%"
"6","Davante Adams (LV)","9","14","126","14.0","48","3","1","0","0","0","0","1","27.6","27.6","100.0%"
"7","Stefon Diggs (BUF)","12","16","128","10.7","25","1","0","0","0","0","0","1","24.8","24.8","100.0%"
"8","Amon-Ra St. Brown (DET)","10","11","119","11.9","22","2","0","1","2","0","0","1","22.1","22.1","99.1%"
"9","Gabe Davis (BUF)","6","10","93","15.5","22","2","1","0","0","0","0","1","21.3","21.3","95.0%"
"10","Terry McLaurin (WAS)","8","11","128","16.0","41","4","0","0","0","0","0","1","20.8","20.8","97.5%"
"11","Parris Campbell (IND)","7","9","76","10.9","35","2","1","0","0","0","0","1","20.6","20.6","36.9%"
"12","DeAndre Hopkins (ARI)","10","14","98","9.8","25","1","0","0","0","0","0","1","19.8","19.8","98.4%"
"13","Chris Godwin (TB)","6","8","71","11.8","19","0","1","0","0","0","0","1","19.1","19.1","95.8%"
"14","Kadarius Toney (KC)","4","5","57","14.3","23","2","1","2","33","0","0","1","19.0","19.0","40.1%"
"15","Darius Slayton (NYG)","3","4","95","31.7","54","6","1","0","0","0","0","1","18.5","18.5","54.4%"
"16","Rondale Moore (ARI)","9","13","94","10.4","26","1","0","0","0","0","0","1","18.4","18.4","49.0%"
"17","DeAndre Carter (LAC)","4","4","64","16.0","33","4","1","0","0","0","0","1","16.4","16.4","16.6%"
"18","Trent Sherfield (MIA)","4","5","63","15.8","27","1","1","0","0","0","0","1","16.3","16.3","2.2%"
"19","Nico Collins (HOU)","5","10","49","9.8","13","0","1","0","0","0","0","1","15.9","15.9","23.8%"
"20","Tyreek Hill (MIA)","5","6","44","8.8","20","1","1","0","0","0","0","1","15.4","15.4","100.0%"
"21","Marquez Valdes-Scantling (KC)","3","4","60","20.0","36","2","1","0","0","0","0","1","15.0","15.0","47.4%"
"22","Donovan Peoples-Jones (CLE)","5","9","99","19.8","38","3","0","0","0","0","0","1","14.9","14.9","51.2%"
"23","Laviska Shenault Jr. (CAR)","3","4","17","5.7","8","0","0","2","42","1","0","1","14.9","14.9","0.9%"
"24","Drake London (ATL)","5","6","38","7.6","14","0","1","0","0","0","0","1","14.8","14.8","66.3%"
"25","Zay Jones (JAC)","8","10","68","8.5","14","0","0","0","0","0","0","1","14.8","14.8","55.4%"
"26","George Pickens (PIT)","3","4","32","10.7","14","0","0","2","23","1","0","1","14.5","14.5","69.5%"
"27","Julio Jones (TB)","3","5","53","17.7","31","2","1","0","0","0","0","1","14.3","14.3","19.7%"
"28","DeVonta Smith (PHI)","6","8","39","6.5","15","0","1","0","0","0","1","1","13.9","13.9","92.7%"
"29","Jalen Virgil (DEN)","1","1","66","66.0","66","4","1","0","0","0","0","1","13.6","13.6","0.1%"
"30","Tyler Lockett (SEA)","3","5","42","14.0","21","1","1","0","0","0","0","1","13.2","13.2","94.7%"
"31","DK Metcalf (SEA)","6","9","71","11.8","16","0","0","0","0","0","0","1","13.1","13.1","97.8%"
"32","Courtland Sutton (DEN)","6","11","66","11.0","17","0","0","0","0","0","0","1","12.6","12.6","83.1%"
"33","Brandon Aiyuk (SF)","6","7","84","14.0","24","2","0","0","0","0","1","1","12.4","12.4","91.2%"
"34","Michael Pittman Jr. (IND)","7","9","53","7.6","18","0","0","0","0","0","0","1","12.3","12.3","96.4%"
"35","Marquise Goodwin (SEA)","2","2","38","19.0","19","0","1","0","0","0","0","1","11.8","11.8","1.4%"
"36","Van Jefferson (LAR)","3","3","27","9.0","19","0","1","0","0","0","0","1","11.7","11.7","25.0%"
"37","KhaDarel Hodge (ATL)","2","2","37","18.5","25","1","1","0","0","0","0","1","11.7","11.7","0.0%"
"38","Jaylen Waddle (MIA)","4","5","66","16.5","29","1","0","0","0","0","0","1","10.6","10.6","99.3%"
"39","Mike Evans (TB)","5","6","54","10.8","29","1","0","0","0","0","0","1","10.4","10.4","98.7%"
"40","Diontae Johnson (PIT)","4","5","63","15.8","36","2","0","0","0","0","0","1","10.3","10.3","84.5%"
"41","Kendall Hinton (DEN)","4","5","62","15.5","35","2","0","0","0","0","0","1","10.2","10.2","4.5%"
"42","Quez Watkins (PHI)","4","4","80","20.0","50","4","0","0","0","0","1","1","10.0","10.0","1.4%"
"43","Chris Moore (HOU)","3","6","70","23.3","25","3","0","0","0","0","0","1","10.0","10.0","1.9%"
"44","Adam Thielen (MIN)","5","7","49","9.8","21","1","0","0","0","0","0","1","9.9","9.9","90.1%"
