"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","7","10","132","18.9","60","5","2","0","0","0","0","1","32.2","32.2","99.9%"
"2","Stefon Diggs (BUF)","10","13","148","14.8","31","4","1","0","0","0","0","1","30.8","30.8","100.0%"
"3","Tyreek Hill (MIA)","12","15","177","14.8","28","3","0","0","0","0","0","1","29.7","29.7","100.0%"
"4","Brandon Aiyuk (SF)","8","11","83","10.4","14","0","2","0","0","0","0","1","28.3","28.3","91.2%"
"5","Michael Pittman Jr. (IND)","13","16","134","10.3","20","1","0","0","0","0","0","1","26.4","26.4","96.4%"
"6","Chase Claypool (CHI)","7","7","96","13.7","26","1","1","1","8","0","0","1","23.4","23.4","49.8%"
"7","JuJu Smith-Schuster (KC)","5","5","113","22.6","42","6","1","0","0","0","0","1","22.3","22.3","92.7%"
"8","Tyquan Thornton (NE)","4","5","37","9.3","21","1","1","3","16","1","0","1","21.3","21.3","0.9%"
"9","Parris Campbell (IND)","7","11","57","8.1","15","0","1","0","0","0","0","1","18.7","18.7","36.9%"
"10","Dante Pettis (CHI)","4","7","84","21.0","40","3","1","0","0","0","0","1","18.4","18.4","0.1%"
"11","A.J. Brown (PHI)","5","8","67","13.4","22","1","1","0","0","0","0","1","17.7","17.7","99.9%"
"12","Allen Lazard (GB)","4","9","76","19.0","35","3","1","0","0","0","0","1","17.6","17.6","84.3%"
"13","Allen Robinson II (LAR)","5","6","63","12.6","22","1","1","0","0","0","0","1","17.3","17.3","38.4%"
"14","Jaylen Waddle (MIA)","6","10","129","21.5","49","5","0","0","0","0","1","1","16.9","16.9","99.3%"
"15","Ben Skowronek (LAR)","5","5","40","8.0","19","0","0","1","17","1","0","1","16.7","16.7","2.8%"
"16","Justin Jefferson (MIN)","6","8","107","17.8","47","5","0","0","0","0","0","1","16.7","16.7","100.0%"
"17","Cooper Kupp (LAR)","7","8","80","11.4","22","2","0","2","17","0","0","1","16.7","16.7","87.0%"
"18","Gabe Davis (BUF)","3","6","74","24.7","34","3","1","0","0","0","0","1","16.4","16.4","95.0%"
"19","Deebo Samuel (SF)","7","10","79","11.3","27","2","0","2","11","0","0","1","16.0","16.0","99.2%"
"20","Adam Thielen (MIN)","4","8","36","9.0","14","0","1","0","0","0","0","1","15.6","15.6","90.1%"
"21","Chris Godwin (TB)","6","12","95","15.8","28","2","0","0","0","0","0","1","15.5","15.5","95.8%"
"22","DeVonta Smith (PHI)","5","5","44","8.8","13","0","1","0","0","0","0","1","15.4","15.4","92.7%"
"23","Joshua Palmer (LAC)","9","12","57","6.3","14","0","0","0","0","0","0","1","14.7","14.7","74.3%"
"24","Amari Cooper (CLE)","4","12","44","11.0","15","0","1","0","0","0","0","1","14.4","14.4","96.2%"
"25","Alec Pierce (IND)","3","7","49","16.3","32","2","1","0","0","0","0","1","13.9","13.9","11.8%"
"26","Darnell Mooney (CHI)","7","12","68","9.7","26","2","0","0","0","0","0","1","13.8","13.8","39.6%"
"27","Tre'Quan Smith (NO)","3","3","43","14.3","18","0","1","0","0","0","0","1","13.3","13.3","0.6%"
"28","Mecole Hardman (KC)","3","4","42","14.0","26","1","1","0","0","0","0","1","13.2","13.2","27.3%"
"29","CeeDee Lamb (DAL)","5","10","68","13.6","24","1","0","2","9","0","0","1","12.7","12.7","99.9%"
"30","Wan'Dale Robinson (NYG)","3","4","37","12.3","17","0","1","0","0","0","0","1","12.7","12.7","6.0%"
"31","Tyler Boyd (CIN)","6","6","66","11.0","21","1","0","0","0","0","0","1","12.6","12.6","77.7%"
"32","Marquise Brown (ARI)","5","9","68","13.6","26","2","0","0","0","0","0","1","11.8","11.8","89.3%"
"33","Donovan Peoples-Jones (CLE)","4","5","74","18.5","37","3","0","1","2","0","0","1","11.6","11.6","51.2%"
"34","Rondale Moore (ARI)","6","10","49","8.2","26","1","0","0","0","0","0","1","10.9","10.9","49.0%"
"35","Christian Kirk (JAC)","4","5","24","6.0","12","0","1","1","4","0","1","1","10.8","10.8","94.9%"
"36","Tee Higgins (CIN)","6","9","47","7.8","13","0","0","0","0","0","0","1","10.7","10.7","99.7%"
"37","DeVante Parker (NE)","4","6","64","16.0","29","1","0","0","0","0","0","1","10.4","10.4","13.6%"
