"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","A.J. Brown (PHI)","6","10","156","26.0","43","7","3","0","0","0","0","1","39.6","39.6","99.9%"
"2","DeAndre Hopkins (ARI)","12","13","159","13.3","33","3","1","0","0","0","0","1","33.9","33.9","98.4%"
"3","Tyreek Hill (MIA)","12","14","188","15.7","42","6","0","1","7","0","0","1","31.5","31.5","100.0%"
"4","Jaylen Waddle (MIA)","8","9","106","13.3","29","1","2","0","0","0","0","1","30.6","30.6","99.3%"
"5","DJ Moore (CAR)","6","11","152","25.3","62","6","1","1","3","0","0","1","27.5","27.5","93.4%"
"6","Rondale Moore (ARI)","7","8","92","13.1","38","3","1","2","12","0","0","1","23.4","23.4","49.0%"
"7","Amari Cooper (CLE)","5","7","131","26.2","53","6","1","0","0","0","0","1","23.1","23.1","96.2%"
"8","Cooper Kupp (LAR)","8","12","79","9.9","23","2","1","2","10","0","0","1","22.9","22.9","87.0%"
"9","Stefon Diggs (BUF)","6","8","108","18.0","53","5","1","0","0","0","0","1","22.8","22.8","100.0%"
"10","Jakobi Meyers (NE)","9","13","60","6.7","16","0","1","0","0","0","0","1","21.0","21.0","72.7%"
"11","Brandon Aiyuk (SF)","6","6","81","13.5","34","2","1","0","0","0","0","1","20.1","20.1","91.2%"
"12","CeeDee Lamb (DAL)","5","7","77","15.4","22","2","1","1","1","0","0","1","18.8","18.8","99.9%"
"13","Jerry Jeudy (DEN)","6","7","63","10.5","25","1","1","0","0","0","0","1","18.3","18.3","87.0%"
"14","Mike Evans (TB)","6","11","123","20.5","51","6","0","0","0","0","0","1","18.3","18.3","98.7%"
"15","DK Metcalf (SEA)","6","10","55","9.2","15","0","1","0","0","0","0","1","17.5","17.5","97.8%"
"16","Garrett Wilson (NYJ)","6","7","115","19.2","54","5","0","0","0","0","0","1","17.5","17.5","89.0%"
"17","Terry McLaurin (WAS)","6","8","113","18.8","42","5","0","1","-7","0","0","1","16.6","16.6","97.5%"
"18","Devin Duvernay (BAL)","4","4","31","7.8","13","0","0","2","33","1","0","1","16.4","16.4","39.6%"
"19","Romeo Doubs (GB)","4","7","62","15.5","26","1","1","0","0","0","0","1","16.2","16.2","16.2%"
"20","Justin Jefferson (MIN)","6","8","98","16.3","29","2","0","0","0","0","0","1","15.8","15.8","100.0%"
"21","Damiere Byrd (ATL)","3","6","67","22.3","47","3","1","0","0","0","0","1","15.7","15.7","0.1%"
"22","Tyler Lockett (SEA)","5","8","63","12.6","33","2","1","0","0","0","1","1","15.3","15.3","94.7%"
"23","Tee Higgins (CIN)","3","6","49","16.3","41","3","1","0","0","0","0","1","13.9","13.9","99.7%"
"24","Amon-Ra St. Brown (DET)","7","10","69","9.9","21","1","0","0","0","0","0","1","13.9","13.9","99.1%"
"25","Zach Pascal (PHI)","2","2","57","28.5","34","3","1","0","0","0","0","1","13.7","13.7","0.1%"
"26","Chris Godwin (TB)","6","11","75","12.5","44","3","0","0","0","0","0","1","13.5","13.5","95.8%"
"27","Mack Hollins (LV)","7","8","64","9.1","14","0","0","0","0","0","0","1","13.4","13.4","25.6%"
"28","Tyler Boyd (CIN)","3","5","38","12.7","14","0","1","0","0","0","0","1","12.8","12.8","77.7%"
"29","Terrace Marshall Jr. (CAR)","4","9","87","21.8","39","3","0","0","0","0","0","1","12.7","12.7","8.0%"
"30","Adam Thielen (MIN)","6","7","67","11.2","18","0","0","0","0","0","0","1","12.7","12.7","90.1%"
"31","Chase Claypool (CHI)","4","6","45","11.3","25","1","0","0","0","0","0","1","12.5","12.5","49.8%"
"32","Demarcus Robinson (BAL)","6","8","64","10.7","16","0","0","0","0","0","0","1","12.4","12.4","11.9%"
"33","Michael Pittman Jr. (IND)","7","9","53","7.6","16","0","0","0","0","0","0","1","12.3","12.3","96.4%"
"34","Donovan Peoples-Jones (CLE)","4","4","81","20.3","37","3","0","0","0","0","0","1","12.1","12.1","51.2%"
"35","Darnell Mooney (CHI)","5","5","70","14.0","36","2","0","0","0","0","0","1","12.0","12.0","39.6%"
"36","Darius Slayton (NYG)","5","6","66","13.2","21","1","0","0","0","0","0","1","11.6","11.6","54.4%"
"37","Brandin Cooks (HOU)","4","6","73","18.3","44","4","0","0","0","0","0","1","11.3","11.3","66.9%"
"38","Curtis Samuel (WAS)","3","4","50","16.7","20","1","0","4","29","0","0","1","10.9","10.9","61.8%"
"39","Samori Toure (GB)","1","4","37","37.0","37","2","1","0","0","0","0","1","10.7","10.7","0.1%"
"40","Kalif Raymond (DET)","3","4","76","25.3","43","4","0","0","0","0","0","1","10.6","10.6","2.9%"
"41","Allen Robinson II (LAR)","5","7","54","10.8","23","1","0","0","0","0","0","1","10.4","10.4","38.4%"
"42","N'Keal Harry (CHI)","2","2","24","12.0","17","0","1","0","0","0","0","1","10.4","10.4","0.1%"
"43","Chris Olave (NO)","5","7","52","10.4","14","0","0","0","0","0","0","1","10.2","10.2","93.2%"
"44","Julio Jones (TB)","2","4","21","10.5","13","0","1","1","0","0","0","1","10.1","10.1","19.7%"
"45","Denzel Mims (NYJ)","2","3","76","38.0","63","4","0","0","0","0","0","1","9.6","9.6","0.1%"
"46","Alec Pierce (IND)","3","5","65","21.7","47","3","0","0","0","0","0","1","9.5","9.5","11.8%"
"47","Parris Campbell (IND)","2","2","43","21.5","38","2","0","1","28","0","0","1","9.1","9.1","36.9%"
"48","Michael Gallup (DAL)","4","6","49","12.3","17","0","0","0","0","0","0","1","8.9","8.9","65.8%"
"49","K.J. Osborn (MIN)","2","5","8","4.0","5","0","1","0","0","0","0","1","8.8","8.8","3.4%"
"50","Diontae Johnson (PIT)","5","9","35","7.0","14","0","0","0","0","0","0","1","8.5","8.5","84.5%"
"51","K.J. Hamler (DEN)","2","3","52","26.0","47","3","0","1","9","0","0","1","8.1","8.1","0.9%"
"52","Isaiah McKenzie (BUF)","1","1","8","8.0","8","0","0","2","2","1","0","1","8.0","8.0","33.4%"
"53","Laviska Shenault Jr. (CAR)","5","6","26","5.2","13","0","0","0","0","0","0","1","7.6","7.6","0.9%"
"54","Marquise Goodwin (SEA)","4","5","33","8.3","16","0","0","0","0","0","0","1","7.3","7.3","1.4%"
"55","DeVonta Smith (PHI)","5","8","23","4.6","14","0","0","0","0","0","0","1","7.3","7.3","92.7%"
"56","Drake London (ATL)","4","5","31","7.8","17","0","0","0","0","0","0","1","7.1","7.1","66.3%"
"57","Christian Kirk (JAC)","3","7","40","13.3","25","1","0","0","0","0","0","1","7.0","7.0","94.9%"
"58","Rashid Shaheed (NO)","3","3","38","12.7","30","2","0","0","0","0","0","1","6.8","6.8","0.8%"
"59","Zay Jones (JAC)","3","3","28","9.3","17","0","0","1","7","0","0","1","6.5","6.5","55.4%"
"60","Dante Pettis (CHI)","4","5","18","4.5","12","0","0","0","0","0","0","1","5.8","5.8","0.1%"
