"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","7","13","141","20.1","35","6","2","0","0","0","0","1","33.1","33.1","100.0%"
"2","Amari Cooper (CLE)","8","12","113","14.1","25","2","2","0","0","0","0","1","31.3","31.3","96.2%"
"3","Joshua Palmer (LAC)","8","10","106","13.3","50","4","2","0","0","0","0","1","30.6","30.6","74.3%"
"4","Tee Higgins (CIN)","9","13","148","16.4","33","3","0","0","0","0","0","1","23.8","23.8","99.7%"
"5","Deebo Samuel (SF)","7","9","57","8.1","19","0","0","3","37","1","0","1","22.4","22.4","99.2%"
"6","Demarcus Robinson (BAL)","9","9","128","14.2","31","4","0","0","0","0","0","1","21.8","21.8","11.9%"
"7","Chris Olave (NO)","5","6","102","20.4","53","4","1","0","0","0","0","1","21.2","21.2","93.2%"
"8","Christian Watson (GB)","4","6","48","12.0","18","0","2","1","3","0","0","1","21.1","21.1","85.9%"
"9","Wan'Dale Robinson (NYG)","9","13","100","11.1","19","0","0","1","4","0","0","1","19.4","19.4","6.0%"
"10","Greg Dortch (ARI)","9","10","103","11.4","47","3","0","0","0","0","0","1","19.3","19.3","4.0%"
"11","George Pickens (PIT)","4","6","83","20.8","33","4","1","0","0","0","0","1","18.3","18.3","69.5%"
"12","DeAndre Hopkins (ARI)","9","12","91","10.1","17","0","0","0","0","0","0","1","18.1","18.1","98.4%"
"13","Treylon Burks (TEN)","7","8","111","15.9","51","7","0","0","0","0","0","1","18.1","18.1","50.2%"
"14","Donovan Peoples-Jones (CLE)","5","6","61","12.2","27","2","1","0","0","0","0","1","17.1","17.1","51.2%"
"15","Brandon Aiyuk (SF)","2","4","20","10.0","13","0","2","0","0","0","0","1","16.0","16.0","91.2%"
"16","Amon-Ra St. Brown (DET)","7","8","76","10.9","32","2","0","1","4","0","0","1","15.0","15.0","99.1%"
"17","Stefon Diggs (BUF)","4","5","48","12.0","21","1","1","0","0","0","0","1","14.8","14.8","100.0%"
"18","Allen Robinson II (LAR)","4","5","47","11.8","17","0","1","0","0","0","0","1","14.7","14.7","38.4%"
"19","Richie James Jr. (NYG)","3","3","48","16.0","20","1","1","0","0","0","0","1","13.8","13.8","6.0%"
"20","DeVonta Smith (PHI)","6","9","78","13.0","24","1","0","0","0","0","0","1","13.8","13.8","92.7%"
"21","Darius Slayton (NYG)","5","10","86","17.2","24","2","0","0","0","0","0","1","13.6","13.6","54.4%"
"22","Michael Pittman Jr. (IND)","6","7","75","12.5","24","1","0","0","0","0","0","1","13.5","13.5","96.4%"
"23","Randall Cobb (GB)","6","6","73","12.2","28","2","0","0","0","0","0","1","13.3","13.3","5.8%"
"24","Trenton Irwin (CIN)","3","4","42","14.0","32","2","1","0","0","0","0","1","13.2","13.2","0.1%"
"25","Tutu Atwell (LAR)","1","1","62","62.0","62","4","1","0","0","0","0","1","13.2","13.2","0.5%"
"26","Courtland Sutton (DEN)","5","7","80","16.0","23","2","0","0","0","0","0","1","13.0","13.0","83.1%"
"27","Darnell Mooney (CHI)","4","5","29","7.3","16","0","1","0","0","0","0","1","12.9","12.9","39.6%"
"28","Robert Woods (TEN)","6","7","69","11.5","32","2","0","0","0","0","0","1","12.9","12.9","44.3%"
"29","Keenan Allen (LAC)","5","8","94","18.8","46","3","0","0","0","0","1","1","12.4","12.4","97.8%"
"30","Jarvis Landry (NO)","3","4","33","11.0","18","0","1","0","0","0","0","1","12.3","12.3","22.3%"
"31","Gabe Davis (BUF)","5","7","68","13.6","28","1","0","0","0","0","0","1","11.8","11.8","95.0%"
"32","Parris Campbell (IND)","5","6","67","13.4","31","2","0","0","0","0","0","1","11.7","11.7","36.9%"
"33","Skyy Moore (KC)","5","6","63","12.6","18","0","0","0","0","0","0","1","11.3","11.3","12.7%"
"34","Mack Hollins (LV)","6","9","52","8.7","18","0","0","0","0","0","0","1","11.2","11.2","25.6%"
"35","Quez Watkins (PHI)","2","2","31","15.5","22","1","1","0","0","0","0","1","11.1","11.1","1.4%"
"36","Allen Lazard (GB)","5","11","57","11.4","23","1","0","0","0","0","0","1","10.7","10.7","84.3%"
"37","Terrace Marshall Jr. (CAR)","3","6","76","25.3","34","3","0","0","0","0","0","1","10.6","10.6","8.0%"
"38","A.J. Green (ARI)","5","9","50","10.0","18","0","0","0","0","0","0","1","10.0","10.0","1.7%"
"39","Brandin Cooks (HOU)","3","6","70","23.3","41","3","0","0","0","0","0","1","10.0","10.0","66.9%"
"40","Nico Collins (HOU)","5","7","48","9.6","22","1","0","0","0","0","0","1","9.8","9.8","23.8%"
"41","Curtis Samuel (WAS)","1","2","10","10.0","10","0","0","2","18","1","0","1","9.8","9.8","61.8%"
"42","Justin Watson (KC)","3","4","67","22.3","29","2","0","0","0","0","0","1","9.7","9.7","1.5%"
"43","Terry McLaurin (WAS)","4","7","55","13.8","19","0","0","1","1","0","0","1","9.6","9.6","97.5%"
"44","CeeDee Lamb (DAL)","5","5","45","9.0","27","1","0","0","0","0","0","1","9.5","9.5","99.9%"
"45","Jakobi Meyers (NE)","4","6","52","13.0","20","1","0","0","0","0","0","1","9.2","9.2","72.7%"
"46","A.J. Brown (PHI)","5","7","60","12.0","29","1","0","0","0","0","1","1","9.0","9.0","99.9%"
"47","Kendall Hinton (DEN)","3","3","57","19.0","32","2","0","0","0","0","0","1","8.7","8.7","4.5%"
"48","Chris Moore (HOU)","5","7","20","4.0","11","0","0","1","3","0","0","1","7.3","7.3","1.9%"
"49","Drake London (ATL)","1","3","2","2.0","2","0","1","0","0","0","0","1","7.2","7.2","66.3%"
"50","Van Jefferson (LAR)","3","5","41","13.7","20","1","0","0","0","0","0","1","7.1","7.1","25.0%"
"51","Michael Gallup (DAL)","3","4","41","13.7","19","0","0","0","0","0","0","1","7.1","7.1","65.8%"
"52","Kalif Raymond (DET)","3","7","33","11.0","21","1","0","1","7","0","0","1","7.0","7.0","2.9%"
"53","Justin Jefferson (MIN)","3","5","33","11.0","15","0","0","0","0","0","0","1","6.3","6.3","100.0%"
"54","DeAndre Carter (LAC)","3","3","33","11.0","20","1","0","0","0","0","0","1","6.3","6.3","16.6%"
"55","David Bell (CLE)","4","5","22","5.5","8","0","0","0","0","0","0","1","6.2","6.2","0.7%"
"56","Noah Brown (DAL)","2","2","42","21.0","35","2","0","0","0","0","0","1","6.2","6.2","1.8%"
"57","Diontae Johnson (PIT)","4","5","21","5.3","8","0","0","1","1","0","0","1","6.2","6.2","84.5%"
"58","Tyler Boyd (CIN)","2","7","42","21.0","27","1","0","0","0","0","0","1","6.2","6.2","77.7%"
"59","Gunner Olszewski (PIT)","2","3","39","19.5","31","2","0","0","0","0","0","1","5.9","5.9","0.1%"
"60","Alec Pierce (IND)","3","8","28","9.3","17","0","0","0","0","0","0","1","5.8","5.8","11.8%"
"61","Denzel Mims (NYJ)","2","6","35","17.5","34","2","0","0","0","0","0","1","5.5","5.5","0.1%"
"62","DJ Moore (CAR)","3","5","24","8.0","12","0","0","0","0","0","0","1","5.4","5.4","93.4%"
"63","Kenny Golladay (NYG)","2","2","29","14.5","15","0","0","0","0","0","0","1","4.9","4.9","6.8%"
"64","Damiere Byrd (ATL)","2","2","29","14.5","19","0","0","0","0","0","0","1","4.9","4.9","0.1%"
"65","Nick Westbrook-Ikhine (TEN)","2","2","28","14.0","19","0","0","0","0","0","0","1","4.8","4.8","3.2%"
"66","Laviska Shenault Jr. (CAR)","4","4","7","1.8","5","0","0","0","0","0","0","1","4.7","4.7","0.9%"
"67","Shi Smith (CAR)","4","5","26","6.5","10","0","0","0","0","0","1","1","4.6","4.6","0.1%"
"68","Adam Thielen (MIN)","2","3","25","12.5","15","0","0","0","0","0","0","1","4.5","4.5","90.1%"
"69","Equanimeous St. Brown (CHI)","2","2","24","12.0","14","0","0","0","0","0","0","1","4.4","4.4","0.2%"
"70","Lawrence Cager (NYG)","2","3","20","10.0","13","0","0","0","0","0","0","1","4.0","4.0","0.1%"
"71","DeVante Parker (NE)","2","2","19","9.5","10","0","0","0","0","0","0","1","3.9","3.9","13.6%"
"72","Isaiah Hodgins (NYG)","3","3","29","9.7","20","1","0","0","0","0","1","1","3.9","3.9","0.7%"
"73","Nelson Agholor (NE)","2","3","18","9.0","11","0","0","0","0","0","0","1","3.8","3.8","1.8%"
"74","Elijah Moore (NYJ)","2","4","17","8.5","13","0","0","0","0","0","0","1","3.7","3.7","30.0%"
"75","K.J. Osborn (MIN)","2","3","17","8.5","12","0","0","0","0","0","0","1","3.7","3.7","3.4%"
"76","Brandon Powell (LAR)","2","2","16","8.0","8","0","0","1","-1","0","0","1","3.5","3.5","0.3%"
"77","Olamide Zaccheaus (ATL)","1","2","9","9.0","9","0","0","1","13","0","0","1","3.2","3.2","0.8%"
"78","Garrett Wilson (NYJ)","2","3","12","6.0","6","0","0","1","0","0","0","1","3.2","3.2","89.0%"
"79","Chase Claypool (CHI)","2","3","11","5.5","6","0","0","0","0","0","0","1","3.1","3.1","49.8%"
"80","Keelan Cole Sr. (LV)","1","2","21","21.0","21","1","0","0","0","0","0","1","3.1","3.1","0.1%"
"81","Marquez Valdes-Scantling (KC)","1","4","18","18.0","18","0","0","0","0","0","0","1","2.8","2.8","47.4%"
"82","Cam Sims (WAS)","1","1","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"83","Jahan Dotson (WAS)","1","2","13","13.0","13","0","0","1","3","0","0","1","2.6","2.6","20.9%"
"84","Mike Williams (LAC)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","94.3%"
"85","Jalen Nailor (MIN)","1","3","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"86","Jalen Reagor (MIN)","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.1%"
"87","KhaDarel Hodge (ATL)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"88","Tom Kennedy (DET)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"89","Zach Pascal (PHI)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"90","Jalen Tolbert (DAL)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","2.5%"
"91","Kendrick Bourne (NE)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","1.0%"
"92","Rashid Shaheed (NO)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.8%"
"93","Devin Duvernay (BAL)","1","1","3","3.0","3","0","0","1","4","0","0","1","1.7","1.7","39.6%"
"94","Marquez Callaway (NO)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.5%"
"95","Tyquan Thornton (NE)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.9%"
"96","Ben Skowronek (LAR)","1","4","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","2.8%"
"97","Brandon Johnson (DEN)","1","2","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"98","Trent Taylor (CIN)","1","1","1","1.0","1","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"99","Kristian Wilkerson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Chris Lacy (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Christian Kirk (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.9%"
"103","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Tyrie Cleveland (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Jauan Jennings (SF)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"108","Lynn Bowden Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","D.J. Chark Jr. (DET)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","31.3%"
"112","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"113","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Jaylen Waddle (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.3%"
"115","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Isaiah Zuber (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Antonio Callaway (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Rashod Bateman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.7%"
"121","Ja'Marr Chase (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.9%"
"122","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Cody White (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Freddie Swain (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Braxton Berrios (NYJ)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"128","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Demetric Felton Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Cedrick Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"131","Marquez Stevenson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Amari Rodgers (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"133","Tre'Quan Smith (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"134","Anthony Schwartz (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"135","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
