"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","8","12","177","22.1","45","7","2","0","0","0","0","1","37.7","37.7","100.0%"
"2","Amon-Ra St. Brown (DET)","11","12","114","10.4","15","0","2","1","2","0","0","1","34.6","34.6","99.1%"
"3","A.J. Brown (PHI)","8","10","119","14.9","40","4","2","0","0","0","0","1","31.9","31.9","99.9%"
"4","Tyreek Hill (MIA)","9","14","146","16.2","45","3","1","0","0","0","0","1","29.6","29.6","100.0%"
"5","Tyler Lockett (SEA)","9","12","128","14.2","36","3","1","0","0","0","0","1","27.8","27.8","94.7%"
"6","DK Metcalf (SEA)","8","8","127","15.9","40","4","1","0","0","0","0","1","26.7","26.7","97.8%"
"7","Terry McLaurin (WAS)","8","12","105","13.1","20","1","1","0","0","0","0","1","24.5","24.5","97.5%"
"8","Christian Watson (GB)","3","6","48","16.0","19","0","1","1","46","1","0","1","24.4","24.4","85.9%"
"9","Garrett Wilson (NYJ)","8","15","162","20.3","60","5","0","0","0","0","0","1","24.2","24.2","89.0%"
"10","Stefon Diggs (BUF)","7","9","92","13.1","19","0","1","0","0","0","0","1","22.2","22.2","100.0%"
"11","DeVonta Smith (PHI)","5","8","102","20.4","34","5","1","0","0","0","0","1","21.2","21.2","92.7%"
"12","Keenan Allen (LAC)","6","14","88","14.7","35","2","1","0","0","0","0","1","20.8","20.8","97.8%"
"13","CeeDee Lamb (DAL)","5","7","71","14.2","22","2","1","2","23","0","0","1","20.4","20.4","99.9%"
"14","Alec Pierce (IND)","4","8","86","21.5","45","3","1","0","0","0","0","1","18.6","18.6","11.8%"
"15","Justin Jefferson (MIN)","7","11","45","6.4","10","0","1","2","11","0","0","1","18.6","18.6","100.0%"
"16","Michael Gallup (DAL)","4","7","23","5.8","13","0","2","0","0","0","0","1","18.3","18.3","65.8%"
"17","Ja'Marr Chase (CIN)","7","8","97","13.9","40","4","0","0","0","0","0","1","16.7","16.7","99.9%"
"18","Jahan Dotson (WAS)","5","9","54","10.8","28","1","1","0","0","0","0","1","16.4","16.4","20.9%"
"19","Christian Kirk (JAC)","6","8","104","17.3","37","4","0","0","0","0","0","1","16.4","16.4","94.9%"
"20","Drake London (ATL)","6","12","95","15.8","37","2","0","0","0","0","0","1","15.5","15.5","66.3%"
"21","Isaiah Hodgins (NYG)","5","6","44","8.8","12","0","1","0","0","0","0","1","15.4","15.4","0.7%"
"22","Darius Slayton (NYG)","6","8","90","15.0","55","4","0","0","0","0","0","1","15.0","15.0","54.4%"
"23","D.J. Chark Jr. (DET)","5","6","98","19.6","41","4","0","0","0","0","0","1","14.8","14.8","31.3%"
"24","Curtis Samuel (WAS)","6","7","63","10.5","25","2","0","3","23","0","0","1","14.6","14.6","61.8%"
"25","Trent Sherfield (MIA)","1","3","75","75.0","75","4","1","0","0","0","0","1","14.5","14.5","2.2%"
"26","Chris Godwin (TB)","8","13","63","7.9","14","0","0","0","0","0","0","1","14.3","14.3","95.8%"
"27","Corey Davis (NYJ)","5","10","85","17.0","31","3","0","0","0","0","0","1","13.5","13.5","20.6%"
"28","Donovan Peoples-Jones (CLE)","3","3","44","14.7","27","1","0","0","0","0","0","1","13.4","13.4","51.2%"
"29","Joshua Palmer (LAC)","7","11","60","8.6","15","0","0","0","0","0","0","1","13.0","13.0","74.3%"
"30","Nico Collins (HOU)","3","10","35","11.7","16","0","1","0","0","0","0","1","12.5","12.5","23.8%"
"31","Tee Higgins (CIN)","3","5","35","11.7","14","0","1","0","0","0","0","1","12.5","12.5","99.7%"
"32","Brandon Powell (LAR)","4","4","39","9.8","14","0","0","3","45","0","0","1","12.4","12.4","0.3%"
"33","Deebo Samuel (SF)","6","10","58","9.7","12","0","0","4","5","0","0","1","12.3","12.3","99.2%"
"34","Allen Lazard (GB)","5","6","67","13.4","21","2","0","0","0","0","0","1","11.7","11.7","84.3%"
"35","Equanimeous St. Brown (CHI)","3","4","85","28.3","56","5","0","1","1","0","0","1","11.6","11.6","0.2%"
"36","Rashid Shaheed (NO)","4","4","75","18.8","40","3","0","1","0","0","0","1","11.5","11.5","0.8%"
"37","Demarcus Robinson (BAL)","7","8","41","5.9","10","0","0","0","0","0","0","1","11.1","11.1","11.9%"
"38","Diontae Johnson (PIT)","5","11","60","12.0","20","1","0","0","0","0","0","1","11.0","11.0","84.5%"
"39","Chris Olave (NO)","4","6","65","16.3","26","2","0","0","0","0","0","1","10.5","10.5","93.2%"
"40","Jerry Jeudy (DEN)","4","4","65","16.3","40","3","0","0","0","0","0","1","10.5","10.5","87.0%"
"41","Devin Duvernay (BAL)","6","6","34","5.7","13","0","0","2","9","0","0","1","10.3","10.3","39.6%"
"42","Tyler Boyd (CIN)","4","5","60","15.0","19","0","0","0","0","0","0","1","10.0","10.0","77.7%"
"43","Mike Evans (TB)","4","4","59","14.8","22","1","0","0","0","0","0","1","9.9","9.9","98.7%"
"44","Brandon Aiyuk (SF)","5","9","46","9.2","23","1","0","0","0","0","0","1","9.6","9.6","91.2%"
