"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","10","13","147","14.7","41","5","0","1","3","1","0","1","31.0","31.0","100.0%"
"2","Mike Evans (TB)","8","10","103","12.9","30","2","2","0","0","0","0","1","30.3","30.3","98.7%"
"3","Cooper Kupp (LAR)","14","19","122","8.7","18","0","0","0","0","0","0","1","26.2","26.2","87.0%"
"4","Tyreek Hill (MIA)","10","14","160","16.0","64","5","0","1","-1","0","0","1","25.9","25.9","100.0%"
"5","Tee Higgins (CIN)","7","9","124","17.7","59","5","1","0","0","0","0","1","25.4","25.4","99.7%"
"6","Deebo Samuel (SF)","6","7","115","19.2","57","5","1","2","2","0","0","1","23.7","23.7","99.2%"
"7","DK Metcalf (SEA)","7","10","149","21.3","54","7","0","0","0","0","0","1","21.9","21.9","97.8%"
"8","CeeDee Lamb (DAL)","6","8","97","16.2","30","3","1","0","0","0","0","1","21.7","21.7","99.9%"
"9","Josh Reynolds (DET)","7","8","81","11.6","26","1","1","0","0","0","0","1","21.1","21.1","6.4%"
"10","Jamal Agnew (JAC)","4","6","50","12.5","24","1","2","0","0","0","0","1","21.0","21.0","0.4%"
"11","Marquise Brown (ARI)","6","11","88","14.7","23","2","1","0","0","0","0","1","20.8","20.8","89.3%"
"12","Davante Adams (LV)","9","13","101","11.2","20","1","0","1","4","0","0","1","19.5","19.5","100.0%"
"13","Mike Williams (LAC)","7","11","120","17.1","50","5","0","0","0","0","0","1","19.0","19.0","94.3%"
"14","Brandin Cooks (HOU)","7","7","57","8.1","20","1","1","0","0","0","0","1","18.7","18.7","66.9%"
"15","Corey Davis (NYJ)","5","6","74","14.8","22","1","1","0","0","0","0","1","18.4","18.4","20.6%"
"16","Allen Lazard (GB)","6","8","116","19.3","32","4","0","0","0","0","0","1","17.6","17.6","84.3%"
"17","Chris Olave (NO)","4","7","67","16.8","32","3","1","0","0","0","0","1","16.7","16.7","93.2%"
"18","Courtland Sutton (DEN)","5","7","52","10.4","18","0","1","0","0","0","0","1","16.2","16.2","83.1%"
"19","George Pickens (PIT)","6","8","102","17.0","27","3","0","0","0","0","0","1","16.2","16.2","69.5%"
"20","Jerry Jeudy (DEN)","4","5","53","13.3","32","3","1","0","0","0","0","1","15.3","15.3","87.0%"
"21","Adam Thielen (MIN)","8","9","72","9.0","16","0","0","0","0","0","0","1","15.2","15.2","90.1%"
"22","A.J. Brown (PHI)","5","7","95","19.0","31","3","0","0","0","0","0","1","14.5","14.5","99.9%"
"23","Romeo Doubs (GB)","5","8","47","9.4","16","0","1","0","0","0","1","1","13.7","13.7","16.2%"
"24","Darnell Mooney (CHI)","4","5","94","23.5","56","4","0","0","0","0","0","1","13.4","13.4","39.6%"
"25","Jahan Dotson (WAS)","3","4","43","14.3","31","2","1","0","0","0","0","1","13.3","13.3","20.9%"
"26","Tyler Lockett (SEA)","6","8","91","15.2","34","2","0","0","0","0","1","1","13.1","13.1","94.7%"
"27","Robert Woods (TEN)","4","4","30","7.5","10","0","1","0","0","0","0","1","13.0","13.0","44.3%"
"28","Chris Godwin (TB)","7","10","59","8.4","12","0","0","0","0","0","0","1","12.9","12.9","95.8%"
"29","DJ Moore (CAR)","6","11","50","8.3","16","0","0","1","11","0","0","1","12.1","12.1","93.4%"
"30","Donovan Peoples-Jones (CLE)","5","9","71","14.2","42","3","0","0","0","0","0","1","12.1","12.1","51.2%"
"31","Isaiah McKenzie (BUF)","4","6","21","5.3","8","0","1","0","0","0","0","1","12.1","12.1","33.4%"
"32","Ja'Marr Chase (CIN)","4","6","81","20.3","36","3","0","0","0","0","0","1","12.1","12.1","99.9%"
"33","Alec Pierce (IND)","4","6","80","20.0","44","4","0","0","0","0","0","1","12.0","12.0","11.8%"
"34","Nico Collins (HOU)","3","5","82","27.3","58","5","0","0","0","0","0","1","11.2","11.2","23.8%"
"35","DeVante Parker (NE)","2","2","24","12.0","25","1","1","0","0","0","0","1","10.4","10.4","13.6%"
"36","Michael Gallup (DAL)","2","3","24","12.0","15","0","1","0","0","0","0","1","10.4","10.4","65.8%"
"37","Stefon Diggs (BUF)","4","6","62","15.5","23","1","0","0","0","0","0","1","10.2","10.2","100.0%"
"38","JuJu Smith-Schuster (KC)","5","8","46","9.2","19","0","0","0","0","0","0","1","9.6","9.6","92.7%"
"39","Trent Sherfield (MIA)","4","6","55","13.8","16","0","0","0","0","0","0","1","9.5","9.5","2.2%"
"40","Christian Watson (GB)","1","3","8","8.0","8","0","0","1","15","1","0","1","9.3","9.3","85.9%"
"41","Marquez Valdes-Scantling (KC)","3","5","63","21.0","36","3","0","0","0","0","0","1","9.3","9.3","47.4%"
"42","Devin Duvernay (BAL)","4","5","51","12.8","21","1","0","0","0","0","0","1","9.1","9.1","39.6%"
"43","Noah Brown (DAL)","3","6","61","20.3","45","3","0","0","0","0","0","1","9.1","9.1","1.8%"
"44","Elijah Moore (NYJ)","3","4","53","17.7","28","2","0","1","2","0","0","1","8.5","8.5","30.0%"
"45","Tom Kennedy (DET)","3","5","54","18.0","28","1","0","0","0","0","0","1","8.4","8.4","0.1%"
"46","Parris Campbell (IND)","4","4","43","10.8","20","1","0","0","0","0","0","1","8.3","8.3","36.9%"
"47","Marquez Callaway (NO)","3","6","53","17.7","33","2","0","0","0","0","0","1","8.3","8.3","0.5%"
"48","Christian Kirk (JAC)","2","9","60","30.0","45","3","0","1","3","0","0","1","8.3","8.3","94.9%"
"49","Curtis Samuel (WAS)","4","7","38","9.5","15","0","0","0","0","0","0","1","7.8","7.8","61.8%"
"50","Brandon Aiyuk (SF)","4","4","37","9.3","15","0","0","0","0","0","0","1","7.7","7.7","91.2%"
"51","Tyler Boyd (CIN)","2","5","47","23.5","43","3","0","0","0","0","0","1","7.6","7.6","77.7%"
"52","Nelson Agholor (NE)","3","4","46","15.3","27","2","0","0","0","0","0","1","7.6","7.6","1.8%"
"53","Olamide Zaccheaus (ATL)","2","2","55","27.5","42","3","0","0","0","0","0","1","7.5","7.5","0.8%"
"54","Randall Cobb (GB)","3","4","42","14.0","24","1","0","0","0","0","0","1","7.2","7.2","5.8%"
"55","Michael Bandy (LAC)","2","2","49","24.5","25","2","0","0","0","0","0","1","6.9","6.9","0.1%"
"56","K.J. Hamler (DEN)","1","1","55","55.0","55","4","0","0","0","0","0","1","6.5","6.5","0.9%"
"57","Mack Hollins (LV)","3","5","33","11.0","16","0","0","0","0","0","0","1","6.3","6.3","25.6%"
"58","Michael Pittman Jr. (IND)","3","6","31","10.3","14","0","0","0","0","0","0","1","6.1","6.1","96.4%"
"59","Garrett Wilson (NYJ)","2","6","41","20.5","35","2","0","0","0","0","0","1","6.1","6.1","89.0%"
"60","Jaylen Waddle (MIA)","2","5","39","19.5","20","1","0","0","0","0","0","1","5.9","5.9","99.3%"
"61","Kendall Hinton (DEN)","2","3","39","19.5","35","2","0","0","0","0","0","1","5.9","5.9","4.5%"
"62","Kendrick Bourne (NE)","2","3","23","11.5","16","0","0","1","15","0","0","1","5.8","5.8","1.0%"
"63","Braxton Berrios (NYJ)","1","1","6","6.0","6","0","0","0","0","0","0","1","5.7","5.7","1.0%"
"64","Robbie Anderson (ARI)","3","5","26","8.7","13","0","0","0","0","0","0","1","5.6","5.6","6.9%"
"65","David Bell (CLE)","2","3","35","17.5","20","1","0","0","0","0","0","1","5.5","5.5","0.7%"
"66","Ben Skowronek (LAR)","2","3","33","16.5","17","0","0","0","0","0","0","1","5.3","5.3","2.8%"
"67","Skyy Moore (KC)","2","4","31","15.5","16","0","0","0","0","0","0","1","5.1","5.1","12.7%"
"68","Kalif Raymond (DET)","3","5","38","12.7","21","1","0","1","3","0","1","1","5.1","5.1","2.9%"
"69","DeVonta Smith (PHI)","3","4","17","5.7","7","0","0","0","0","0","0","1","4.7","4.7","92.7%"
"70","Jarvis Landry (NO)","2","2","7","3.5","6","0","0","0","0","0","0","1","4.7","4.7","22.3%"
"71","Rashod Bateman (BAL)","3","6","17","5.7","13","0","0","0","0","0","0","1","4.7","4.7","23.7%"
"72","Russell Gage (TB)","2","4","24","12.0","14","0","0","0","0","0","0","1","4.4","4.4","17.6%"
"73","Khalil Shakir (BUF)","2","2","23","11.5","14","0","0","0","0","0","0","1","4.3","4.3","0.3%"
"74","Diontae Johnson (PIT)","2","4","11","5.5","6","0","0","2","11","0","0","1","4.2","4.2","84.5%"
"75","Jauan Jennings (SF)","2","4","22","11.0","12","0","0","0","0","0","0","1","4.2","4.2","0.7%"
"76","Ashton Dulin (IND)","2","3","18","9.0","10","0","0","0","0","0","0","1","3.8","3.8","0.1%"
"77","Treylon Burks (TEN)","2","3","14","7.0","8","0","0","1","4","0","0","1","3.8","3.8","50.2%"
"78","Drake London (ATL)","2","7","17","8.5","10","0","0","0","0","0","0","1","3.7","3.7","66.3%"
"79","Rondale Moore (ARI)","3","5","11","3.7","7","0","0","1","-4","0","0","1","3.7","3.7","49.0%"
"80","Joshua Palmer (LAC)","1","1","25","25.0","25","1","0","0","0","0","0","1","3.5","3.5","74.3%"
"81","Quintez Cephus (DET)","2","3","15","7.5","9","0","0","0","0","0","0","1","3.5","3.5","0.1%"
"82","Terry McLaurin (WAS)","2","6","15","7.5","9","0","0","0","0","0","0","1","3.5","3.5","97.5%"
"83","Demarcus Robinson (BAL)","2","3","10","5.0","7","0","0","0","0","0","0","1","3.0","3.0","11.9%"
"84","Tre'Quan Smith (NO)","1","2","18","18.0","18","0","0","0","0","0","0","1","2.8","2.8","0.6%"
"85","Allen Robinson II (LAR)","2","6","7","3.5","5","0","0","0","0","0","0","1","2.7","2.7","38.4%"
"86","Dee Eskridge (SEA)","1","1","10","10.0","10","0","0","1","6","0","0","1","2.6","2.6","0.3%"
"87","Jalen Nailor (MIN)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"88","Gabe Davis (BUF)","1","3","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","95.0%"
"89","Darius Slayton (NYG)","1","2","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","54.4%"
"90","Lil'Jordan Humphrey (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"91","Amari Cooper (CLE)","1","4","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","96.2%"
"92","Jamison Crowder (BUF)","1","4","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","1.3%"
"93","Julio Jones (TB)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","19.7%"
"94","DeAndre Carter (LAC)","2","3","16","8.0","14","0","0","0","0","0","1","1","1.6","1.6","16.6%"
"95","Greg Dortch (ARI)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","4.0%"
"96","Ray-Ray McCloud (SF)","1","3","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.6%"
"97","Dyami Brown (WAS)","1","4","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"98","Cole Beasley (FA)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.1%"
