"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","11","15","223","20.3","47","8","0","0","0","0","0","1","33.3","33.3","100.0%"
"2","Jerry Jeudy (DEN)","8","9","73","9.1","18","0","3","0","0","0","0","1","33.3","33.3","87.3%"
"3","Ja'Marr Chase (CIN)","10","15","119","11.9","20","1","1","1","6","0","0","1","28.5","28.5","99.9%"
"4","Mike Williams (LAC)","6","6","116","19.3","55","5","1","0","0","0","0","1","23.6","23.6","94.4%"
"5","Chris Moore (HOU)","10","11","124","12.4","36","4","0","0","0","0","0","1","22.4","22.4","2.2%"
"6","JuJu Smith-Schuster (KC)","9","11","74","8.2","20","1","1","0","0","0","0","1","22.4","22.4","92.6%"
"7","Zay Jones (JAC)","8","12","77","9.6","20","1","1","0","0","0","0","1","21.7","21.7","55.8%"
"8","D.J. Chark Jr. (DET)","6","7","94","15.7","48","3","1","0","0","0","0","1","21.4","21.4","31.5%"
"9","Keenan Allen (LAC)","12","14","92","7.7","18","0","0","0","0","0","0","1","21.2","21.2","97.8%"
"10","Marquise Goodwin (SEA)","5","6","95","19.0","38","3","1","1","-2","0","0","1","20.3","20.3","1.4%"
"11","Adam Thielen (MIN)","7","8","65","9.3","23","1","1","0","0","0","0","1","19.5","19.5","90.1%"
"12","Donovan Peoples-Jones (CLE)","8","12","114","14.3","28","2","0","0","0","0","0","1","19.4","19.4","51.2%"
"13","Richie James Jr. (NYG)","7","9","61","8.7","19","0","1","0","0","0","0","1","19.1","19.1","6.0%"
"14","Tyreek Hill (MIA)","4","10","81","20.3","60","4","1","0","0","0","0","1","18.1","18.1","100.0%"
"15","DK Metcalf (SEA)","5","10","71","14.2","25","1","1","0","0","0","0","1","18.1","18.1","97.8%"
"16","DeVonta Smith (PHI)","5","8","64","12.8","41","3","1","0","0","0","0","1","17.4","17.4","92.7%"
"17","Tyler Lockett (SEA)","5","9","60","12.0","23","1","1","0","0","0","0","1","17.0","17.0","94.6%"
"18","A.J. Brown (PHI)","4","6","70","17.5","33","2","1","0","0","0","0","1","17.0","17.0","99.9%"
"19","Josh Reynolds (DET)","5","6","51","10.2","18","0","1","0","0","0","0","1","16.1","16.1","6.3%"
"20","Amari Rodgers (HOU)","4","5","57","14.3","28","1","1","1","3","0","0","1","16.0","16.0","0.1%"
"21","Ben Skowronek (LAR)","7","8","89","12.7","32","3","0","0","0","0","0","1","15.9","15.9","2.8%"
"22","Isaiah Hodgins (NYG)","4","6","38","9.5","15","0","1","0","0","0","0","1","15.8","15.8","0.7%"
"23","K.J. Osborn (MIN)","5","5","38","7.6","15","0","1","0","0","0","0","1","14.8","14.8","3.4%"
