"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Treylon Burks (TEN)","3","5","55","18.3","27","2","0","0","0","0","0","1","8.5","8.5","50.2%"
"57","Marquez Valdes-Scantling (KC)","4","4","44","11.0","17","0","0","1","-3","0","0","1","8.1","8.1","47.4%"
"58","DJ Moore (CAR)","3","6","43","14.3","26","1","0","1","7","0","0","1","8.0","8.0","93.4%"
"59","Marvin Jones Jr. (JAC)","4","6","38","9.5","12","0","0","0","0","0","0","1","7.8","7.8","13.8%"
"60","Ashton Dulin (IND)","3","6","46","15.3","23","1","0","0","0","0","0","1","7.6","7.6","0.1%"
"61","Olamide Zaccheaus (ATL)","4","4","49","12.3","22","1","0","0","0","0","1","1","6.9","6.9","0.8%"
"62","KhaDarel Hodge (ATL)","3","3","38","12.7","18","0","0","0","0","0","0","1","6.8","6.8","0.0%"
"63","Parris Campbell (IND)","3","4","37","12.3","20","1","0","0","0","0","0","1","6.7","6.7","36.9%"
"64","Brandon Aiyuk (SF)","2","3","40","20.0","31","2","0","1","7","0","0","1","6.7","6.7","91.2%"
"65","Adam Thielen (MIN)","3","4","36","12.0","22","1","0","0","0","0","0","1","6.6","6.6","90.1%"
"66","Chris Godwin (TB)","3","3","35","11.7","24","1","0","0","0","0","0","1","6.5","6.5","95.8%"
"67","Ben Skowronek (LAR)","4","6","25","6.3","12","0","0","0","0","0","0","1","6.5","6.5","2.8%"
"68","Chris Moore (HOU)","3","3","31","10.3","11","0","0","0","0","0","0","1","6.1","6.1","1.9%"
"69","Christian Watson (GB)","2","4","34","17.0","25","1","0","1","7","0","0","1","6.1","6.1","85.9%"
"70","Tyler Lockett (SEA)","3","4","28","9.3","17","0","0","0","0","0","0","1","5.8","5.8","94.7%"
"71","Jamison Crowder (BUF)","3","4","28","9.3","11","0","0","0","0","0","0","1","5.8","5.8","1.3%"
"72","Mike Strachan (IND)","2","2","36","18.0","20","1","0","0","0","0","0","1","5.6","5.6","0.0%"
"73","Kendrick Bourne (NE)","1","1","41","41.0","41","3","0","0","0","0","0","1","5.1","5.1","1.0%"
"74","Hunter Renfrow (LV)","3","6","21","7.0","9","0","0","0","0","0","0","1","5.1","5.1","26.4%"
"75","Anthony Schwartz (CLE)","1","2","19","19.0","19","0","0","2","20","0","0","1","4.9","4.9","0.1%"
"76","CeeDee Lamb (DAL)","2","11","29","14.5","16","0","0","0","0","0","0","1","4.9","4.9","99.9%"
"77","Sammy Watkins (GB)","3","3","18","6.0","9","0","0","0","0","0","0","1","4.8","4.8","2.5%"
"78","Cedrick Wilson Jr. (MIA)","2","2","20","10.0","12","0","0","1","8","0","0","1","4.8","4.8","1.0%"
"79","Tee Higgins (CIN)","2","2","27","13.5","18","0","0","0","0","0","0","1","4.7","4.7","99.7%"
"80","Amari Cooper (CLE)","3","6","17","5.7","9","0","0","0","0","0","0","1","4.7","4.7","96.2%"
"81","Nico Collins (HOU)","2","3","26","13.0","18","0","0","0","0","0","0","1","4.6","4.6","23.8%"
