"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","9","11","139","15.4","37","5","1","0","0","0","0","1","29.3","29.3","100.0%"
"2","Chris Godwin (TB)","12","13","110","9.2","23","2","1","0","0","0","0","1","29.0","29.0","95.8%"
"3","Amon-Ra St. Brown (DET)","9","10","122","13.6","26","1","1","1","7","0","0","1","27.9","27.9","99.1%"
"4","Zay Jones (JAC)","11","14","145","13.2","29","3","0","0","0","0","0","1","27.5","27.5","55.4%"
"5","Garrett Wilson (NYJ)","5","8","95","19.0","54","4","2","1","-1","0","0","1","26.4","26.4","89.0%"
"6","Tee Higgins (CIN)","7","9","114","16.3","29","3","1","0","0","0","0","1","24.4","24.4","99.7%"
"7","Isaiah McKenzie (BUF)","6","10","96","16.0","30","3","1","2","7","0","0","1","22.3","22.3","33.4%"
"8","Stefon Diggs (BUF)","8","15","77","9.6","36","2","1","0","0","0","0","1","21.7","21.7","100.0%"
"9","Adam Thielen (MIN)","9","10","61","6.8","16","0","1","0","0","0","0","1","21.1","21.1","90.1%"
"10","Christian Watson (GB)","4","6","110","27.5","63","5","1","0","0","0","0","1","21.0","21.0","85.9%"
"11","DJ Moore (CAR)","4","6","103","25.8","52","6","1","0","0","0","0","1","20.3","20.3","93.4%"
"12","DeAndre Carter (LAC)","7","10","73","10.4","33","2","1","0","0","0","0","1","20.3","20.3","16.6%"
"13","DK Metcalf (SEA)","11","15","90","8.2","24","1","0","0","0","0","0","1","20.0","20.0","97.8%"
"14","Michael Pittman Jr. (IND)","7","11","61","8.7","28","1","1","0","0","0","0","1","19.1","19.1","96.4%"
"15","DeAndre Hopkins (ARI)","4","6","87","21.8","33","4","1","0","0","0","0","1","18.7","18.7","98.4%"
"16","Nelson Agholor (NE)","6","8","65","10.8","34","2","1","0","0","0","0","1","18.5","18.5","1.8%"
"17","CeeDee Lamb (DAL)","6","11","106","17.7","25","3","0","2","11","0","0","1","17.7","17.7","99.9%"
"18","Jauan Jennings (SF)","6","7","49","8.2","13","0","1","0","0","0","0","1","16.9","16.9","0.7%"
"19","Amari Cooper (CLE)","7","12","94","13.4","45","3","0","0","0","0","0","1","16.4","16.4","96.2%"
"20","Mack Hollins (LV)","4","5","63","15.8","36","3","1","0","0","0","0","1","16.3","16.3","25.6%"
"21","Keenan Allen (LAC)","5","7","49","9.8","16","0","1","0","0","0","0","1","15.9","15.9","97.8%"
"22","Tyler Lockett (SEA)","3","7","68","22.7","35","3","1","0","0","0","0","1","15.8","15.8","94.7%"
"23","Richie James Jr. (NYG)","5","6","41","8.2","16","0","1","0","0","0","0","1","15.1","15.1","6.0%"
"24","Tyreek Hill (MIA)","6","9","85","14.2","29","1","0","1","5","0","0","1","15.0","15.0","100.0%"
"25","Jamal Agnew (JAC)","5","5","37","7.4","17","0","1","0","0","0","0","1","14.7","14.7","0.4%"
"26","Davante Adams (LV)","7","11","74","10.6","28","1","0","0","0","0","0","1","14.4","14.4","100.0%"
"27","Olamide Zaccheaus (ATL)","5","8","91","18.2","45","4","0","0","0","0","0","1","14.1","14.1","0.8%"
"28","Elijah Moore (NYJ)","2","2","64","32.0","42","4","1","1","-4","0","0","1","14.0","14.0","30.0%"
"29","Jaylen Waddle (MIA)","5","10","85","17.0","34","3","0","0","0","0","0","1","13.5","13.5","99.3%"
"30","Courtland Sutton (DEN)","6","8","75","12.5","22","1","0","0","0","0","0","1","13.5","13.5","83.1%"
"31","A.J. Brown (PHI)","4","6","46","11.5","23","1","1","0","0","0","1","1","12.6","12.6","99.9%"
"32","Quez Watkins (PHI)","3","5","35","11.7","30","2","1","0","0","0","0","1","12.5","12.5","1.4%"
"33","DeVante Parker (NE)","4","4","80","20.0","40","3","0","0","0","0","0","1","12.0","12.0","13.6%"
"34","Van Jefferson (LAR)","3","6","29","9.7","16","0","1","0","0","0","0","1","11.9","11.9","25.0%"
"35","Anthony Schwartz (CLE)","1","2","17","17.0","17","0","0","1","31","1","0","1","11.8","11.8","0.1%"
"36","Brandon Aiyuk (SF)","5","8","65","13.0","27","2","0","0","0","0","0","1","11.5","11.5","91.2%"
"37","Michael Gallup (DAL)","5","8","63","12.6","25","1","0","0","0","0","0","1","11.3","11.3","65.8%"
"38","Marvin Jones Jr. (JAC)","3","3","22","7.3","10","0","1","0","0","0","0","1","11.2","11.2","13.8%"
"39","Chris Olave (NO)","5","9","62","12.4","20","1","0","0","0","0","0","1","11.2","11.2","93.2%"
"40","Brandin Cooks (HOU)","5","5","59","11.8","39","2","0","1","2","0","0","1","11.1","11.1","66.9%"
"41","Treylon Burks (TEN)","4","6","70","17.5","51","4","0","0","0","0","0","1","11.0","11.0","50.2%"
"42","George Pickens (PIT)","3","6","57","19.0","35","2","0","0","0","0","0","1","10.7","10.7","69.5%"
"43","Marquise Brown (ARI)","6","8","46","7.7","13","0","0","0","0","0","0","1","10.6","10.6","89.3%"
"44","Joshua Palmer (LAC)","5","7","56","11.2","18","0","0","0","0","0","0","1","10.6","10.6","74.3%"
"45","Nico Collins (HOU)","6","9","44","7.3","12","0","0","0","0","0","0","1","10.4","10.4","23.8%"
"46","Randall Cobb (GB)","2","4","19","9.5","11","0","1","0","0","0","0","1","9.9","9.9","5.8%"
"47","Diontae Johnson (PIT)","5","8","49","9.8","11","0","0","0","0","0","0","1","9.9","9.9","84.5%"
"48","Nick Westbrook-Ikhine (TEN)","4","6","58","14.5","25","2","0","0","0","0","0","1","9.8","9.8","3.2%"
"49","Kendall Hinton (DEN)","5","9","35","7.0","14","0","0","1","13","0","0","1","9.8","9.8","4.5%"
"50","Marquez Valdes-Scantling (KC)","4","5","56","14.0","23","2","0","0","0","0","0","1","9.6","9.6","47.4%"
"51","D.J. Chark Jr. (DET)","2","5","16","8.0","15","0","1","0","0","0","0","1","9.6","9.6","31.3%"
"52","River Cracraft (MIA)","4","4","55","13.8","22","1","0","0","0","0","0","1","9.5","9.5","0.0%"
"53","DeSean Jackson (BAL)","2","3","74","37.0","62","4","0","0","0","0","0","1","9.4","9.4","0.9%"
"54","Terry McLaurin (WAS)","4","6","48","12.0","26","1","0","1","5","0","0","1","9.3","9.3","97.5%"
"55","Darius Slayton (NYG)","3","6","63","21.0","44","3","0","0","0","0","0","1","9.3","9.3","54.4%"
"56","Byron Pringle (CHI)","2","2","12","6.0","8","0","1","0","0","0","0","1","9.2","9.2","0.2%"
"57","Jakobi Meyers (NE)","3","4","62","20.7","26","2","0","0","0","0","0","1","9.2","9.2","72.7%"
"58","DeVonta Smith (PHI)","4","9","50","12.5","17","0","0","0","0","0","0","1","9.0","9.0","92.7%"
"59","Brandon Johnson (DEN)","2","4","10","5.0","9","0","1","0","0","0","0","1","9.0","9.0","0.0%"
"60","Marquise Goodwin (SEA)","3","3","48","16.0","21","2","0","1","7","0","0","1","8.5","8.5","1.4%"
"61","Julio Jones (TB)","3","4","40","13.3","26","1","0","1","15","0","0","1","8.5","8.5","19.7%"
"62","Christian Kirk (JAC)","4","9","46","11.5","17","0","0","1","-5","0","0","1","8.1","8.1","94.9%"
"63","Rashid Shaheed (NO)","2","3","53","26.5","35","2","0","1","6","0","0","1","7.9","7.9","0.8%"
"64","Gabe Davis (BUF)","4","5","38","9.5","16","0","0","0","0","0","0","1","7.8","7.8","95.0%"
"65","Kalif Raymond (DET)","4","6","35","8.8","13","0","0","0","0","0","0","1","7.5","7.5","2.9%"
"66","Deebo Samuel (SF)","3","7","43","14.3","20","1","0","2","0","0","0","1","7.3","7.3","99.2%"
"67","Chase Claypool (CHI)","2","5","51","25.5","31","3","0","0","0","0","0","1","7.1","7.1","49.8%"
"68","Devin Duvernay (BAL)","3","5","23","7.7","11","0","0","2","16","0","0","1","6.9","6.9","39.6%"
"69","JuJu Smith-Schuster (KC)","3","3","38","12.7","15","0","0","0","0","0","0","1","6.8","6.8","92.7%"
"70","Skyy Moore (KC)","5","6","36","7.2","18","0","0","0","0","0","1","1","6.6","6.6","12.7%"
"71","David Bell (CLE)","4","6","23","5.8","9","0","0","0","0","0","0","1","6.3","6.3","0.7%"
"72","Isaiah Hodgins (NYG)","3","4","31","10.3","17","0","0","0","0","0","0","1","6.1","6.1","0.7%"
"73","Kendrick Bourne (NE)","3","4","36","12.0","17","0","0","1","-7","0","0","1","5.9","5.9","1.0%"
"74","Trent Sherfield (MIA)","2","5","33","16.5","24","1","0","0","0","0","0","1","5.3","5.3","2.2%"
"75","Mike Evans (TB)","2","9","31","15.5","28","1","0","0","0","0","0","1","5.1","5.1","98.7%"
"76","Drake London (ATL)","2","4","29","14.5","22","1","0","0","0","0","0","1","4.9","4.9","66.3%"
"77","Justin Watson (KC)","2","2","26","13.0","14","0","0","0","0","0","0","1","4.6","4.6","1.5%"
"78","Cedrick Wilson Jr. (MIA)","2","3","26","13.0","20","1","0","0","0","0","0","1","4.6","4.6","1.0%"
"79","Allen Lazard (GB)","2","3","24","12.0","17","0","0","0","0","0","0","1","4.4","4.4","84.3%"
"80","Tutu Atwell (LAR)","2","2","23","11.5","15","0","0","0","0","0","0","1","4.3","4.3","0.5%"
"81","Laviska Shenault Jr. (CAR)","2","2","19","9.5","14","0","0","1","2","0","0","1","4.1","4.1","0.9%"
"82","Jarvis Landry (NO)","2","4","20","10.0","12","0","0","0","0","0","0","1","4.0","4.0","22.3%"
"83","Robert Woods (TEN)","2","6","16","8.0","10","0","0","0","0","0","0","1","3.6","3.6","44.3%"
"84","Tyler Boyd (CIN)","2","4","16","8.0","9","0","0","0","0","0","0","1","3.6","3.6","77.7%"
"85","Donovan Peoples-Jones (CLE)","2","4","16","8.0","9","0","0","0","0","0","0","1","3.6","3.6","51.2%"
"86","Jalen Reagor (MIN)","1","1","25","25.0","25","1","0","0","0","0","0","1","3.5","3.5","0.1%"
"87","Parris Campbell (IND)","2","3","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","36.9%"
"88","Keelan Cole Sr. (LV)","2","2","12","6.0","9","0","0","0","0","0","0","1","3.2","3.2","0.1%"
"89","Lawrence Cager (NYG)","1","2","20","20.0","20","1","0","0","0","0","0","1","3.0","3.0","0.1%"
"90","Steven Sims Jr. (PIT)","2","3","9","4.5","6","0","0","0","0","0","0","1","2.9","2.9","0.3%"
"91","Chris Moore (HOU)","2","3","7","3.5","4","0","0","0","0","0","0","1","2.7","2.7","1.9%"
"92","Demarcus Robinson (BAL)","1","4","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","11.9%"
"93","Dyami Brown (WAS)","1","1","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.1%"
"94","Robbie Anderson (ARI)","1","3","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","6.9%"
"95","Brandon Powell (LAR)","2","2","6","3.0","5","0","0","0","0","0","0","1","2.6","2.6","0.3%"
"96","Trenton Irwin (CIN)","1","4","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.1%"
"97","Ben Skowronek (LAR)","2","4","5","2.5","5","0","0","0","0","0","0","1","2.5","2.5","2.8%"
"98","K.J. Osborn (MIN)","1","2","8","8.0","8","0","0","1","5","0","0","1","2.3","2.3","3.4%"
"99","Braxton Berrios (NYJ)","1","1","4","4.0","4","0","0","2","9","0","0","1","2.3","2.3","1.0%"
"100","Ray-Ray McCloud (SF)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.6%"
"101","Dante Pettis (CHI)","1","2","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.1%"
"102","Denzel Mims (NYJ)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"103","Corey Davis (NYJ)","1","3","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","20.6%"
"104","Terrace Marshall Jr. (CAR)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","8.0%"
"105","Tre'Quan Smith (NO)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.6%"
"106","Trent Taylor (CIN)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"107","Andre Baccellia (ARI)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"108","Equanimeous St. Brown (CHI)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.2%"
"109","A.J. Green (ARI)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","1.7%"
"110","Phillip Dorsett II (HOU)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.7%"
"111","Curtis Samuel (WAS)","0","0","0","0","0","0","0","4","13","0","0","1","1.3","1.3","61.8%"
"112","Cody White (PIT)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"113","Gunner Olszewski (PIT)","0","0","0","0","0","0","0","1","9","0","0","1","0.9","0.9","0.1%"
"114","Montrell Washington (DEN)","1","3","-3","-3.0","0","0","0","1","1","0","0","1","0.8","0.8","0.2%"
"115","Velus Jones Jr. (CHI)","0","0","0","0","0","0","0","2","6","0","0","1","0.6","0.6","0.5%"
"116","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Freddie Swain (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Rondale Moore (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.0%"
"121","Ja'Marr Chase (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.9%"
"122","Kristian Wilkerson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Isaiah Zuber (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"128","Rashod Bateman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.7%"
"129","Darnell Mooney (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.6%"
"130","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"131","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","James Proche II (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"134","Marquez Callaway (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"135","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Tyrie Cleveland (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Lynn Bowden Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Marquez Stevenson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Amari Rodgers (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"142","Shi Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"143","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Dazz Newsome (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Kadarius Toney (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.1%"
"146","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","John Hightower (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Ihmir Smith-Marsette (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Dez Fitzpatrick (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Demetric Felton Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Cam Sims (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Cameron Batson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","N'Keal Harry (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"155","Malik Turner (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","KhaDarel Hodge (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Collin Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Daurice Fountain (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Keke Coutee (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Javon Wims (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Russell Gage (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.6%"
"162","Auden Tate (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Antonio Callaway (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Chris Lacy (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Keith Kirkwood (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Vyncint Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","K.J. Hamler (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"168","Jason Moore Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Deonte Harty (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Trinity Benson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Tyron Johnson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Jeff Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Penny Hart (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Jalen Guyton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"177","Jerry Jeudy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.0%"
"178","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"179","Andy Isabella (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Davion Davis (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Travis Fulgham (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Hunter Renfrow (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.4%"
"183","KaVontae Turpin (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"184","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Miles Boykin (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"186","Scotty Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"187","Bisi Johnson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Quinton Bell (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Juwann Winfree (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"191","Bryan Edwards (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"192","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Tyler Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","KeeSean Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Preston Williams (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Antoine Wesley (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Mecole Hardman (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.3%"
"199","Greg Dortch (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"200","David Sills V (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"201","Romeo Doubs (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.2%"
"202","Kyle Philips (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"203","Michael Woods II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Samori Toure (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"205","Emeka Emezie (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Jaquarii Roberson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Dontario Drummond (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Alec Pierce (IND)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","11.8%"
"209","Jalen Tolbert (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"210","Erik Ezukanma (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
