y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
2,AK,Alaska,11,DC,District Of Columbia,32,57,2177
2,AK,Alaska,44,RI,Rhode Island,13,31,798
4,AZ,Arizona,96,AZ,AZ Total Migration-US and Foreign,91259,169436,6713691
4,AZ,Arizona,97,AZ,AZ Total Migration-US,90381,167591,6665734
4,AZ,Arizona,98,AZ,AZ Total Migration-Foreign,878,1845,47957
4,AZ,Arizona,97,AZ,AZ Total Migration-Same State,49233,96319,2698948
4,AZ,Arizona,4,AZ,AZ Non-migrants,2469417,5319756,191353871
4,AZ,Arizona,6,CA,California,14675,25326,935512
4,AZ,Arizona,48,TX,Texas,8285,16551,934391
4,AZ,Arizona,8,CO,Colorado,5120,8987,361725
4,AZ,Arizona,53,WA,Washington,5101,8877,393696
4,AZ,Arizona,12,FL,Florida,4243,7653,390453
4,AZ,Arizona,32,NV,Nevada,3312,6047,259623
4,AZ,Arizona,41,OR,Oregon,3017,5051,186040
4,AZ,Arizona,35,NM,New Mexico,2945,6013,152217
4,AZ,Arizona,17,IL,Illinois,2943,5059,204291
4,AZ,Arizona,49,UT,Utah,2859,6614,191756
4,AZ,Arizona,37,NC,North Carolina,2208,4403,161853
4,AZ,Arizona,26,MI,Michigan,2083,3837,128430
4,AZ,Arizona,39,OH,Ohio,1932,3525,129283
4,AZ,Arizona,36,NY,New York,1873,2878,114412
4,AZ,Arizona,27,MN,Minnesota,1846,3338,136571
4,AZ,Arizona,51,VA,Virginia,1678,3333,119113
4,AZ,Arizona,55,WI,Wisconsin,1654,2879,112175
4,AZ,Arizona,13,GA,Georgia,1645,3292,109654
4,AZ,Arizona,29,MO,Missouri,1644,3255,96949
4,AZ,Arizona,47,TN,Tennessee,1565,3102,108148
4,AZ,Arizona,16,ID,Idaho,1542,3270,98484
4,AZ,Arizona,42,PA,Pennsylvania,1469,2577,94855
4,AZ,Arizona,18,IN,Indiana,1290,2526,76156
4,AZ,Arizona,40,OK,Oklahoma,1107,2367,57209
4,AZ,Arizona,19,IA,Iowa,1026,1858,64365
4,AZ,Arizona,20,KS,Kansas,901,1775,53813
4,AZ,Arizona,30,MT,Montana,899,1697,60350
4,AZ,Arizona,57,FR,Foreign,878,1845,47957
4,AZ,Arizona,45,SC,South Carolina,874,1746,66051
4,AZ,Arizona,24,MD,Maryland,835,1598,83246
4,AZ,Arizona,25,MA,Massachusetts,812,1277,63703
4,AZ,Arizona,31,NE,Nebraska,746,1346,43930
4,AZ,Arizona,15,HI,Hawaii,736,1401,46058
4,AZ,Arizona,5,AR,Arkansas,731,1455,44220
4,AZ,Arizona,34,NJ,New Jersey,663,1122,80803
4,AZ,Arizona,2,AK,Alaska,661,1245,42955
4,AZ,Arizona,21,KY,Kentucky,653,1301,46373
4,AZ,Arizona,1,AL,Alabama,639,1288,39907
4,AZ,Arizona,46,SD,South Dakota,603,1097,52783
4,AZ,Arizona,38,ND,North Dakota,507,1002,32527
4,AZ,Arizona,56,WY,Wyoming,500,959,74952
4,AZ,Arizona,22,LA,Louisiana,460,867,26263
4,AZ,Arizona,9,CT,Connecticut,409,710,31724
4,AZ,Arizona,28,MS,Mississippi,321,655,17515
4,AZ,Arizona,23,ME,Maine,310,563,19954
4,AZ,Arizona,33,NH,New Hampshire,300,556,19768
4,AZ,Arizona,50,VT,Vermont,159,312,12074
4,AZ,Arizona,11,DC,District Of Columbia,158,205,10902
4,AZ,Arizona,10,DE,Delaware,154,279,58892
4,AZ,Arizona,54,WV,West Virginia,149,286,10272
4,AZ,Arizona,44,RI,Rhode Island,139,231,9335
5,AR,Arkansas,96,AR,AR Total Migration-US and Foreign,30282,60482,1794194
5,AR,Arkansas,97,AR,AR Total Migration-US,30053,60009,1783248
5,AR,Arkansas,98,AR,AR Total Migration-Foreign,229,473,10945
5,AR,Arkansas,97,AR,AR Total Migration-Same State,44615,91770,1989185
5,AR,Arkansas,5,AR,AR Non-migrants,953477,2136698,65505353
5,AR,Arkansas,48,TX,Texas,6153,12148,367051
5,AR,Arkansas,29,MO,Missouri,2970,6021,149499
5,AR,Arkansas,40,OK,Oklahoma,2890,6158,123098
5,AR,Arkansas,47,TN,Tennessee,1880,3549,104170
5,AR,Arkansas,12,FL,Florida,1625,3244,137195
5,AR,Arkansas,6,CA,California,1233,2246,65814
5,AR,Arkansas,22,LA,Louisiana,1062,2223,56593
5,AR,Arkansas,28,MS,Mississippi,822,1680,39290
5,AR,Arkansas,8,CO,Colorado,756,1446,50243
5,AR,Arkansas,17,IL,Illinois,733,1402,41488
5,AR,Arkansas,13,GA,Georgia,717,1484,46094
5,AR,Arkansas,37,NC,North Carolina,656,1357,61575
5,AR,Arkansas,20,KS,Kansas,604,1177,30856
5,AR,Arkansas,4,AZ,Arizona,565,1123,32769
5,AR,Arkansas,1,AL,Alabama,490,977,34604
5,AR,Arkansas,53,WA,Washington,488,932,28443
5,AR,Arkansas,51,VA,Virginia,446,862,32116
5,AR,Arkansas,39,OH,Ohio,419,888,29625
5,AR,Arkansas,26,MI,Michigan,417,854,18806
5,AR,Arkansas,18,IN,Indiana,414,838,20098
5,AR,Arkansas,36,NY,New York,345,591,18423
5,AR,Arkansas,19,IA,Iowa,337,733,14513
5,AR,Arkansas,55,WI,Wisconsin,319,642,16434
5,AR,Arkansas,21,KY,Kentucky,295,624,16580
5,AR,Arkansas,45,SC,South Carolina,283,561,19906
5,AR,Arkansas,42,PA,Pennsylvania,272,559,16471
5,AR,Arkansas,32,NV,Nevada,255,494,50029
5,AR,Arkansas,27,MN,Minnesota,245,486,21217
5,AR,Arkansas,41,OR,Oregon,245,473,13885
5,AR,Arkansas,57,FR,Foreign,229,473,10945
5,AR,Arkansas,49,UT,Utah,219,515,13048
5,AR,Arkansas,35,NM,New Mexico,215,390,10564
